開放粵語詞典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［廣州拼音］	［國語解釋］
不妥	bed1 to2	
[抔]湯	bed1 tong1	舀湯
不吐不快	bed1 tou3 bed1 fai3	
不同點	bed1 tung4 dim2	
不同凡響	bed1 tung4 fan4 hêng2	
不同以往	bed1 tung4 yi5 wong5	
筆畫	bed1 wa2	
不惑之年	bed1 wag6 ji1 nin4	
不懷好意	bed1 wai4 hou2 yi3	
不屈不撓	bed1 wed1 bed1 nao4	
不遺餘力	bed1 wei4 yu4 lig6	
不和	bed1 wo4	
不遑	bed1 wong4	
不時	bed1 xi4	不定時地，每時每刻，無時無刻，時時刻刻
不屑	bed1 xid3	
不屑一顧	bed1 xid3 yed1 gu3	
不息	bed1 xig1	
不適	bed1 xig1	
不惜	bed1 xig1	
不惜犧牲	bed1 xig1 héi1 sang1	
不惜一切	bed1 xig1 yed1 cei3	
不惜一戰	bed1 xig1 yed1 jin3	
不食人間煙火	bed1 xig6 yen4 gan1 yin1 fo2	
不善	bed1 xin6	
不善於	bed1 xin6 yu1	
不升反降	bed1 xing1 fan2 gong3	
不勝負荷	bed1 xing1 fu3 ho6	
不勝感激	bed1 xing1 gem2 gig1	
不勝其煩	bed1 xing1 kéi4 fan4	
不勝枚舉	bed1 xing1 mui4 gêu2	
不勝酒力	bed1 xing1 zeo2 lig6	
不成體統	bed1 xing4 tei2 tung2	
不宣而戰	bed1 xun1 yi4 jin3	
不入虎穴	bed1 yeb6 fu2 yud6	
不忍	bed1 yen2	
不忍心	bed1 yen2 sem1	
不忍卒睹	bed1 yen2 zêd1 dou2	
不孕	bed1 yen6	
不孕症	bed1 yen6 jing3	
筆友	bed1 yeo5	
不宜	bed1 yi4	
不宜	bed1 yi4	不如
不以為苦	bed1 yi5 wei4 fu2	
不以為然	bed1 yi5 wei4 yin4	
不以語人	bed1 yi5 yu6 yen4	
不二法門	bed1 yi6 fad3 mun4	
不二價	bed1 yi6 ga3	
不義之財	bed1 yi6 ji1 coi4	
畢業	bed1 yib6	
畢業典禮	bed1 yib6 din2 lei5	
畢業生	bed1 yib6 sang1	
畢業相	bed1 yib6 sêng2	畢業照
不亦樂乎	bed1 yig6 log6 fu4	
不翼而飛	bed1 yig6 yi4 féi1	
不厭其詳	bed1 yim3 kéi4 cêng4	
不厭其煩	bed1 yim3 kéi4 fan4	
不然	bed1 yin4	
不言而喻	bed1 yin4 yi4 yu6	
不如	bed1 yu4	
不如下次先啦	bed1 yu4 ha6 qi3 xin1 la1	下次吧
不予置評	bed1 yu5 ji3 ping4	
不悅	bed1 yud6	
不遠千里	bed1 yun5 qin1 léi5	
不遠千里而來	bed1 yun5 qin1 léi5 yi4 loi4	
不容	bed1 yung4	
不容分說	bed1 yung4 fen1 xud3	
不容置辯	bed1 yung4 ji3 bin6	
不容置疑	bed1 yung4 ji3 yi4	
不夜城	bed1 yé6 xing4	
不再	bed1 zoi3	
不在場	bed1 zoi6 cêng4	
不在乎	bed1 zoi6 fu4	
不在話下	bed1 zoi6 wa2 ha6	
不在意	bed1 zoi6 yi3	
不足掛齒	bed1 zug1 gwa3 qi2	
不足輕重	bed1 zug1 hing1 cung5	
不足為訓	bed1 zug1 wei4 fen3	
不足為奇	bed1 zug1 wei4 kéi4	
不足為外人道	bed1 zug1 wei4 ngoi6 yen4 dou6	
不足為憑	bed1 zug1 wei4 peng4	
不中不西	bed1 zung1 bed1 sei1	
不進則退	bed1 zên3 zeg1 têu3	
不像話	bed1 zêng6 wa2	
不像樣	bed1 zêng6 yêng6	
筆嘴	bed1 zêu2	筆尖兒，鋼筆尖兒
拔草	bed6 cou2	
拔出	bed6 cêd1	
拔除	bed6 cêu4	
拔刀	bed6 dou1	
拔刀相助	bed6 dou1 sêng1 zo6	
拔地而起	bed6 déi6 yi4 héi2	
拔劍	bed6 gim3	
拔腳	bed6 gêg3	
拔腿就跑	bed6 gêg3 zeo6 pao2	
拔河	bed6 ho4	
拔河比賽	bed6 ho4 béi2 coi3	
拔群	bed6 kwen4	
拔苗助長	bed6 miu4 zo6 zêng2	
拔毛	bed6 mou4	
拔錨	bed6 nao4	
拔牙	bed6 nga4	
拔身	bed6 sen1	
拔腿	bed6 têu2	
跋扈	bed6 wu6	
跋涉	bed6 xib3	
拔擢	bed6 zog6	
北便	beg1 bin6	北邊
北部	beg1 bou6	
北斗星	beg1 deo2 xing1	
北方	beg1 fong1	
北極	beg1 gig6	
北極熊	beg1 gig6 hung4	
北芪	beg1 kéi4	黃芪
北佬	beg1 lou2	北方人
跛	bei1	瘸
跛腳	bei1 gêg3	瘸腳
跛腳佬	bei1 gêg3 lou2	瘸子，跛子
跛手	bei1 seo2	瘸胳膊
贔屭	bei3 ei3	
閉關自守	bei3 gwan1	
閉關	bei3 gwan1	
閉路	bei3 lou6	
閉路電視	bei3 lou6 din6 xi6	
閉幕	bei3 mog6	
閉幕典禮	bei3 mog6 din2 lei5	
閉幕式	bei3 mog6 xig1	
閉目	bei3 mug6	
閉目養神	bei3 mug6 yêng5 sen4	
閉門	bei3 mun4	
閉門造車	bei3 mun4 zou6 cé1	
閉門謝客	bei3 mun4 zé6 hag3	
閉眼	bei3 ngan5	
閉翳	bei3 ngei3	憂愁，愁悶，發愁，心情抑郁
閉塞	bei3 seg1	
閉會	bei3 wui6	
閉月羞花	bei3 yud6 seo1 fa1	
弊	bei6	糟，壞
弊傢伙	bei6 ga1 fo2	糟糕
陛下	bei6 ha6	
弊喇	bei6 la3	糟了，完了，壞了，糟糕
敝履	bei6 léi5	
狴犴	bei6 ngon6	
弊案	bei6 on3	
敝人	bei6 yen4	
泵把	bem1 ba2	保險桿
泵車	bem1 cé1	抽水車，消防車
泵氣	bem1 héi3	打氣
泵水	bem1 sêu2	抽水
彬彬有禮	ben1 ben1 yeo5 lei5	
奔流	ben1 bo1	
奔波	ben1 bo1	
繽紛	ben1 fen1	
奔放	ben1 fong3	
奔赴	ben1 fu6	
賓館	ben1 gun2	
檳榔	ben1 long4	
檳榔汁	ben1 long4 zeb1	
賓佬	ben1 lou2	菲律賓人
奔馬	ben1 ma5	
奔命	ben1 ming6	
賓妹	ben1 mui1	菲律賓少女；菲傭，菲籍女傭
奔跑	ben1 pao2	
賓婆	ben1 po2	菲律賓人
奔馳	ben1 qi4	
奔喪	ben1 song1	
奔騰	ben1 teng4	
奔逃	ben1 tou4	
奔躍	ben1 yêg6	
賓仔	ben1 zei2	菲律賓少年
奔走	ben1 zeo2	
品茶	ben2 ca4	
品德	ben2 deg1	
品格	ben2 gag3	
品格高尚	ben2 gag3 gou1 sêng6	
品管	ben2 gun2	
品行	ben2 heng6	
品學	ben2 hog6	
品學兼優	ben2 hog6 gim1 yeo1	
品紅	ben2 hung4	
品級	ben2 keb1	
品藍	ben2 lam4	
品綠	ben2 lug6	
品類	ben2 lêu6	
品貌	ben2 mao6	
品貌出眾	ben2 mao6 cêd1 zung3	
品貌雙全	ben2 mao6 sêng1 qun4	
品茗	ben2 ming5	
品目	ben2 mug6	
品味	ben2 méi6	
品牌	ben2 pai4	
品評	ben2 ping4	
品嚐	ben2 sêng4	
品頭論足	ben2 teo4 lên6 zug1	
品位	ben2 wei6	
品性	ben2 xing3	
品質	ben2 zed1	
品質管制	ben2 zed1 gun2 zei3	
品種	ben2 zung2	
品種改良	ben2 zung2 goi2 lêng4	
鬢邊	ben3 bin1	
鬢髮	ben3 fad3	
鬢髮皆白	ben3 fad3 gai1 bag6	
鬢髮皓然	ben3 fad3 hou6 yin4	
鬢角	ben3 gog3	
擯棄	ben3 héi3	
殯殮	ben3 lim5	
鬢霜	ben3 sêng1	
殯儀館	ben3 yi4 gun2	
笨豬跳	ben6 ju1 tiu3	蹦極跳，高空彈跳
笨拙	ben6 jud3	
崩	beng1	破，缺
崩	beng1	分錢
崩口	beng1 heo2	豁嘴，兔唇
崩口碗	beng1 heo2 wun2	缺口碗
崩口人忌崩口碗	beng1 heo2 yen4 géi6 beng1 heo2 wun2	當著矮子別說短話
崩潰	beng1 kui2	
崩牙	beng1 nga4	缺齒
崩牙	beng1 nga4	缺齒，缺牙
崩仔	beng1 zei2	朋克，龐克
崩裝	beng1 zong1	莫西干頭
BB機	bi1 bi1 géi1	呼叫機，BB機
啤啤	bi4 bi1	小孩，嬰兒，嬰孩，小孩兒
啤啤車	bi4 bi1 cé1	嬰兒車
啤啤女	bi4 bi1 nêu2	女嬰兒，小女孩，小丫頭
啤啤仔	bi4 bi1 zei2	小嬰兒，小男孩，男嬰兒，小小子
咇	bid1	吱
咇出嚟	bid1 cêd1 léi4	吱出來
觱篥	bid1 lêd6	
必須	bid1 sêu1	
必需	bid1 sêu1	
必需品	bid1 sêu1 ben2	
必要	bid1 yiu3	
鱉甲	bid3 gab3	
憋氣	bid3 héi3	
憋悶	bid3 mun6	
彆扭	bid3 neo2	
鱉魚	bid3 yu4	
別的	bid6 dig1	
蹩腳	bid6 gêg3	
癟三	bid6 sam1	
別墅	bid6 sêu6	
別針	bid6 zem1	
逼	big1	擠，擁擠
逼巴士	big1 ba1 xi2	擠公車，擠公共汽車
逼迫	big1 bag1	
壁櫥	big1 cêu4	
逼到鬼噉	big1 dou3 gwei2 gem2	擠得要命
逼到埋身	big1 dou3 mai4 sen1	事情迫到頭上來
壁虎	big1 fu2	
逼供	big1 gung1	
逼過嚟	big1 gwo3 léi4	擠過來
逼冚晒	big1 hem6 sai3	擠得緊緊的
碧海	big1 hoi2	
碧血	big1 hüd3	
壁紙	big1 ji2	
壁爐	big1 lou4	
碧綠	big1 lug6	
碧綠色	big1 lug6 xig1	
逼嚟逼去	big1 léi4 big1 hêu3	擠來擠去
碧眼	big1 ngan5	
逼上梁山	big1 sêng5 lêng4 san1	
壁畫	big1 wa2	
逼入去	big1 yeb6 hêu3	擠進去
逼人	big1 yen4	擁擠
碧玉	big1 yug6	
鞭	bin1	鞭子
邊	bin1	哪，哪裡
邊塞	bin1 coi3	
邊度	bin1 dou6	哪裡
邊防	bin1 fong4	
邊防要塞	bin1 fong4 yiu3 coi3	
邊界	bin1 gai3	
邊界線	bin1 gai3 xin3	
邊境	bin1 ging2	
邊個	bin1 go3	誰，哪一個
邊個噶	bin1 go3 ga3	誰的？
邊個嘅	bin1 go3 gé3	誰的
邊疆	bin1 gêng1	
鞭炮	bin1 pao3	
鞭笞	bin1 qi1	
鞭撻	bin1 tad3	
邊處	bin1 xu3	哪裡
邊處係呢	bin1 xu3 hei6 lé3	哪裡哪裡
邊一年	bin1 yed1 nin4	哪一年
邊日	bin1 yed6	哪一天
邊有咁大隻蛤乸隨街跳	bin1 yeo5 gem3 dai6 zég3 geb1 na2 cêu4 gai1 tiu3	天上不會掉餡兒餅，沒有那麼便宜的事
邊緣	bin1 yun4	
辮仔	bin1 zei2	辮子
邊際	bin1 zei3	
邊種	bin1 zung2	哪種
貶低	bin2 dei1	
扁豆	bin2 deo6	
匾額	bin2 ngag6	
扁平	bin2 ping4	
扁圓	bin2 yun4	
變壓器	bin3 ad3 héi3	
變調	bin3 diu6	
變化	bin3 fa3	
變化多端	bin3 fa3 do1 dün1	
變遷	bin3 qin1	
變態	bin3 tai3	
變色龍	bin3 xig1 lung4	
變成	bin3 xing4	
便	bin6	面，邊
辨別	bin6 bid6	
辨别	bin6 bid6	
便當	bin6 dong3	
辯方	bin6 fong1	
便服	bin6 fug6	
變更	bin6 geng1	
便捷	bin6 jid6	
便利	bin6 léi6	
便利商店	bin6 léi6 sêng1 dim3	
辯論	bin6 lên6	
便溺	bin6 niu6	
辯護	bin6 wu6	
辨認	bin6 ying6	
兵不血刃	bing1 bed1 hüd3 yen6	
兵不厭詐	bing1 bed1 yim3 za3	
乒乓波	bing1 bem1 bo1	乒乓球
兵變	bing1 bin3	
冰雹	bing1 bog6	
冰凍	bing1 dung3	
兵法	bing1 fad3	
兵荒馬亂	bing1 fong1 ma5 lün6	
兵家	bing1 ga1	
兵家必爭之地	bing1 ga1 bid1 zeng1 ji1 déi6	
兵家大忌	bing1 ga1 dai6 géi6	
兵貴神速	bing1 gwei3 sen4 cug1	
兵器	bing1 héi3	
兵臨城下	bing1 lem4 xing4 ha6	
兵力	bing1 lig6	
兵馬俑	bing1 ma5 yung2	
冰山	bing1 san1	
冰室	bing1 sed1	冷飲店
冰上表演	bing1 sêng6 biu2 yin2	
冰上運動	bing1 sêng6 wen6 dung6	
冰糖	bing1 tong4	
兵士	bing1 xi6	
兵事	bing1 xi6	
兵刃	bing1 yen6	
兵役	bing1 yig6	
兵役法	bing1 yig6 fad6	
兵營	bing1 ying4	
兵戎	bing1 yung4	
兵卒	bing1 zêd1	
抦	bing2	打，揍，毆打
丙等	bing2 deng2	
屏氣	bing2 héi3	
屏氣凝神	bing2 héi3 ying4 sen4	
丙級	bing2 keb1	
秉持	bing2 qi4	
丙酮	bing2 tung4	
屏息	bing2 xig1	
屏息以待	bing2 xig1 yi5 doi3	
秉性	bing2 xing3	
秉承	bing2 xing4	
秉燭夜遊	bing2 zug1 yé6 yeo4	
併發症	bing3 fad3 jing3	
病變	bing6 bin3	
並且	bing6 cé2	
並非	bing6 féi1	
並肩	bing6 gin1	
並肩而行	bing6 gin1 yi4 heng4	
並肩作戰	bing6 gin1 zog3 jin3	
並列	bing6 lid6	
並列譯文	bing6 lid6 yig6 men4	
病理學	bing6 léi5 hog6	
病魔	bing6 mo1	
病魔纏身	bing6 mo1 qin4 sen1	
並無	bing6 mou4	
並無不可	bing6 mou4 bed1 ho2	
病歿	bing6 mud6	
並未	bing6 méi6	
並排	bing6 pai4	
並存	bing6 qun4	
病逝	bing6 sei6	
病體	bing6 tei2	
並用	bing6 yung6	
錶	biu1	手錶
標本	biu1 bun2	
錶廠	biu1 cong2	
飆車	biu1 cé1	
標青	biu1 céng1	貌美出眾，拔尖兒，超群
錶帶	biu1 dai3	
錶店	biu1 dim3	
飆風	biu1 fung1	
鏢局	biu1 gug6	
錶殼	biu1 hog3	
標汗	biu1 hon6	出汗，流汗，冒汗
錶鏈	biu1 lin4	
錶面	biu1 min6	
標簽	biu1 qim1	
標參	biu1 sem1	綁架，綁票
標題	biu1 tei4	
飆升	biu1 xing1	
彪形大漢	biu1 ying4 dai6 hon3	
標語	biu1 yu5	
錶肉	biu1 yug6	錶瓤，錶芯
標準	biu1 zên2	
標準化	biu1 zên2 fa3	
表錯情	biu2 co3 qing4	弄錯，誤解，誤會
表達	biu2 dad6	
表決	biu2 küd3	
表決權	biu2 küd3 kün4	
表面	biu2 min6	
表情	biu2 qing4	
表示	biu2 xi6	
表演	biu2 yin2	
表現	biu2 yin6	
表揚	biu2 yêng4	
波	bo1	球
波	bo1	排檔，檔
波	bo1	奶，乳房
波板	bo1 ban2	球拍，球拍子，乒乓球拍
波缽	bo1 bud3	球鞋，運動鞋
菠菜	bo1 coi3	
波場	bo1 cêng4	球場
波褲	bo1 fu3	球褲，運動褲
波飛	bo1 féi1	球票，球賽的票
波鞋	bo1 hai4	球鞋，運動鞋
波子	bo1 ji2	玻璃球，彈球，滾珠
波子棋	bo1 ji2 kéi4	跳棋
波珠	bo1 ju1	滾珠，彈球，玻璃球
波罅	bo1 la3	乳溝
波瀾	bo1 lan4	
菠蘿	bo1 lo4	鳳梨
菠蘿包	bo1 lo4 bao1	波羅包
菠蘿蓋	bo1 lo4 goi3	膝蓋骨
菠蘿油	bo1 lo4 yeo4	波羅包加牛油
波浪	bo1 long6	
波路	bo1 lou6	底細，情況，來頭
玻璃	bo1 léi1	
玻璃杯	bo1 léi1 bui1	
玻璃窗	bo1 léi1 cêng1	
玻璃纖維	bo1 léi1 qim1 wei4	
玻璃試管	bo1 léi1 xi3 gun2	
玻璃樽	bo1 léi1 zên1	玻璃瓶
波帽	bo1 mou2	鴨舌帽
波衫	bo1 sam1	球衣，運動衣
波恤	bo1 sêd1	球衣，絨衣，運動衣，衛生衣，長袖運動服
波濤	bo1 tou4	
波士	bo1 xi2	老闆，總經理，大老闆，上司
噃	bo3	喔，呢
播出	bo3 cêd1	
播放	bo3 fong3	
簸箕	bo3 géi1	
播映	bo3 ying2	
犦	bog1	敲，打，敲打
犦犦齋	bog1 bog1 zai1	私塾
犦親	bog1 cen1	砸傷，打傷
犦落去	bog1 log6 hêu3	砸下去，打下去
犦落嚟	bog1 log6 léi4	砸下來，打下來
犦濕	bog1 seb1	揍扁，狠揍，揍癟，毆傷，狠揍一頓
撲嘢	bog1 yé5	性交，做愛
搏	bog3	拼，拼搏，拼命，冒險
壆	bog3	壠，土埂，堤壩
膊	bog3	肩
搏彩	bog3 coi2	碰運氣
搏出位	bog3 cêd1 wei2	爭著出人頭地，標新立異
博取	bog3 cêu2	
博大	bog3 dai6	
搏大膽	bog3 dai6 dam2	賭膽量，賭膽識，賭一下膽識
博大精深	bog3 dai6 jing1 sem1	
博得	bog3 deg1	
搏鬥	bog3 deo3	
搏到盡	bog3 dou3 zên6	盡全力，拼搏到底，竭盡全力，拼盡全力，傾盡全力
搏拊	bog3 fu2	
搏擊	bog3 gig1	
博古通今	bog3 gu2 tung1 gem1	
駁骨	bog3 gwed1	接骨
駁腳	bog3 gêg3	經紀
搏吓彩	bog3 ha5 coi2	碰碰運氣，賭一賭運氣
博客	bog3 hag3	
博學	bog3 hog6	
博學多聞	bog3 hog6 do1 men4	
博學多能	bog3 hog6 do1 neng4	
博覽會	bog3 lam5 wui2	
搏老命	bog3 lou5 méng6	拼命，賣命，拼老命
搏亂	bog3 lün6	鑽空子，混水摸魚，趁火打劫，乘機撈一把
博物院	bog3 med6	
博物館	bog3 med6 gun2	
博聞	bog3 men4	
博聞強記	bog3 men4 kêng4 géi3	
搏懵	bog3 mung2	揩油
搏命	bog3 méng6	拼命
搏命噉走	bog3 méng6 gem2 zeo2	拼命地跑
博雅	bog3 nga5	
博鰲論壇	bog3 ngou4 lên6 tan4	
博愛	bog3 oi3	
駁斥	bog3 qig1	
搏晒老命	bog3 sai3 lou5 méng6	拼上老命，拼了老命，竭盡全力
搏晒老命噉	bog3 sai3 lou5 méng6 gem2	拼命地，竭力地，竭盡全力
搏晒命	bog3 sai3 méng6	賣命，拼命，拼老命
搏手	bog3 seo2	交手打架
搏傻	bog3 so4	裝瘋扮傻，假裝糊塗
膊頭	bog3 teo4	肩膀
駁回	bog3 wui4	
博施濟眾	bog3 xi1 zei3 zung3	
博士	bog3 xi6	
博士班	bog3 xi6 ban1	
博士後	bog3 xi6 heo6	
博士學位	bog3 xi6 hog6 wei6	
駁線	bog3 xin3	接線
搏一鋪	bog3 yed1 pou1	試一下運氣如何
博弈	bog3 yig6	
博奕	bog3 yig6	
搏盡	bog3 zên6	盡全力，竭盡全力拼搏
駁嘴	bog3 zêu2	頂嘴
薄餅	bog6 béng2	
薄罉	bog6 cang1	糯米麵烙餅，薄餅，烙餅
薄荷	bog6 ho4	
薄荷腦	bog6 ho4 nou5	
薄荷糖	bog6 ho4 tong4	
薄荷油	bog6 ho4 yeo4	
舶來品	bog6 loi4 ben2	
薄利多銷	bog6 léi6 do1 xiu1	
薄弱	bog6 yêg6	
幫襯	bong1 cen3	光顧
幫倒忙	bong1 dou3 mong4	
邦國	bong1 gwog3	
幫閒	bong1 han4	
幫腔	bong1 hong1	
幫兇	bong1 hung1	
梆子	bong1 ji2	
梆子腔	bong1 ji2 hong1	
幫唔到	bong1 m4 dou2	幫不了
幫唔到手	bong1 m4 dou2 seo2	幫不上忙
幫忙	bong1 mong4	
幫派	bong1 pai3	
幫手	bong1 seo2	
幫手	bong1 seo2	幫忙
幫會	bong1 wui6	
幫助	bong1 zo6	
綁架	bong2 ga3	
綁架犯	bong2 ga3 fan2	
綁個纈	bong2 go3 lid3	打一個結
綁鞋帶	bong2 hai4 dai3	繫鞋帶
綁纈	bong2 lid3	打結
榜上有名	bong2 sêng6 yeo5 ming4	
榜樣	bong2 yêng6	
磅	bong4	給
磅水	bong4 sêu2	給錢，交錢，付錢
傍	bong6	依靠，陪伴，護著，緊靠著，不離開，看守著
傍家	bong6 ga1	戀家，顧家，在家
傍晚	bong6 man5	
磅秤	bong6 qing3	
煲	bou1	煮
煲茶	bou1 ca4	熬藥
煲電話粥	bou1 din6 wa2 zug1	打電話聊大天，打馬拉松電話，長篇大論，打電話聊天
煲飯	bou1 fan6	煮飯
煲咖啡	bou1 ga3 fé1	煮咖啡
晡禮	bou1 lei5	
煲涼茶	bou1 lêng4 ca4	煮去火湯藥，煮清涼茶
煲冇米粥	bou1 mou5 mei5 zug1	說沒影兒的事
煲冇米粥，水汪汪	bou1 mou5 mei5 zug1 sêu2 wong1 wong1	三十晚上走夜路，沒影兒的事
煲水	bou1 sêu2	燒水
煲水	bou1 sêu2	瞎編，無中生有
煲呔	bou1 tai1	領結
煲湯	bou1 tong1	煮湯
煲仔飯	bou1 zei2 fan6	砂鍋飯
煲粥	bou1 zug1	煮粥
簿	bou2	本子
補品	bou2 ben2	
保鏢	bou2 biu1	
寶寶	bou2 bou2	
補報	bou2 bou3	
寶貝	bou2 bui3	
寶貝仔	bou2 bui3 zei2	寶貝兒子
寶剎	bou2 cad3	
補充	bou2 cung1	
補充品	bou2 cung1 ben2	
寶特瓶	bou2 deg6 ping4	
寶典	bou2 din2	
補丁	bou2 ding1	
寶刀	bou2 dou1	
寶刀未老	bou2 dou1 méi6 lou5	
寶島	bou2 dou2	
寶地	bou2 déi6	
補課	bou2 fo3	
寶庫	bou2 fu3	
补家用	bou2 ga1 yung2	補貼家裡的開支
寶鑑	bou2 gam3	
補救	bou2 geo3	
寶劍	bou2 gim3	
保管	bou2 gun2	
保管費	bou2 gun2 fei3	
保管箱	bou2 gun2 sêng1	
寶貴	bou2 gwei3	
補過	bou2 gwo3	
寶眷	bou2 gün3	
補鞋	bou2 hai4	
補鞋匠	bou2 hai4 zêng6	
補考	bou2 hao2	
保險	bou2 him2	
保險費	bou2 him2 fei3	
保險金	bou2 him2 gem1	
保險公司	bou2 him2 gung1 xi1	
保險箱	bou2 him2 sêng1	
保險絲	bou2 him2 xi1	
補空	bou2 hung1	
補血	bou2 hüd3	
補血藥	bou2 hüd3 yêg6	
補血劑	bou2 hüd3 zei1	
保證	bou2 jing3	
補給	bou2 keb1	
補給品	bou2 keb1 ben2	
補給站	bou2 keb1 zam6	
補缺	bou2 küd3	
寶藍	bou2 lam4	
寶藍色	bou2 lam4 xig1	
保留	bou2 leo4	
堡壘	bou2 lêu5	
保密	bou2 med6	
寶物	bou2 med6	
保母	bou2 mou2	
保姆	bou2 mou5	
鴇母	bou2 mou5	
褓姆車	bou2 mou5 cé1	校車，娃娃車
補牙	bou2 nga4	
保你大	bou2 néi5 dai6	服了你了
保安	bou2 on1	
補票	bou2 piu3	
保持	bou2 qi4	
保持中立	bou2 qi4 zung1 lab6	
保存	bou2 qun4	
補修	bou2 seo1	
保守	bou2 seo2	
保守黨	bou2 seo2 dong2	
保守主義	bou2 seo2 ju2 yi6	
補寫	bou2 sé2	
寶石	bou2 ség6	
補償	bou2 sêng4	
補償金	bou2 sêng4 gem1	
補水	bou2 sêu2	補助費，加班費，補貼
寶塔	bou2 tab3	
補貼	bou2 tib3	
補胎	bou2 toi1	
補遺	bou2 wei4	
保衛	bou2 wei6	
寶位	bou2 wei6	
補鑊	bou2 wog6	補救失誤
保護	bou2 wu6	
保護國	bou2 wu6 gwog3	
保護主義	bou2 wu6 ju2 yi6	
保釋	bou2 xig1	
補色	bou2 xig1	
保鮮紙	bou2 xin1 ji2	玻璃紙
補選	bou2 xun2	
保佑	bou2 yeo6	
補語	bou2 yu5	
補藥	bou2 yêg6	
保養	bou2 yêng5	
補養	bou2 yêng5	
補習	bou2 zab6	
補習班	bou2 zab6 ban1	
簿仔	bou2 zei2	小本子，筆記本
寶座	bou2 zo6	
補助費	bou2 zo6 fei3	
補助金	bou2 zo6 gem1	
補助額	bou2 zo6 ngag6	
寶藏	bou2 zong6	
補足	bou2 zug1	
保重	bou2 zung6	
保障	bou2 zêng3	
補綴	bou2 zêu6	
布帛	bou3 bag6	
報酬	bou3 ceo4	
布甸	bou3 din1	布丁
報導	bou3 dou6	
報道	bou3 dou6	
报警	bou3 ging2	
報告	bou3 gou3	
佈告欄	bou3 gou3 lan4	
布褂	bou3 gwa3	
報刊	bou3 hon2	
報紙	bou3 ji2	
報紙佬	bou3 ji2 lou2	賣報的，報販
佈置	bou3 ji3	
布冧	bou3 lem1	洋李子
報名	bou3 ming4	
報仇	bou3 seo4	
報載	bou3 zoi3	
埗	bou6	碼頭
哺	bou6	孵
步兵	bou6 bing1	
步步	bou6 bou6	
步步高升	bou6 bou6 gou1 xing1	
步步為營	bou6 bou6 wei4 ying4	
暴躁	bou6 cou3	
捕蟲	bou6 cung4	
步槍	bou6 cêng1	
暴跌	bou6 did3	
步調	bou6 diu6	
暴動	bou6 dung6	
步隊	bou6 dêu6	
暴發	bou6 fad3	
暴發戶	bou6 fad3 wu6	
捕快	bou6 fai3	
步伐	bou6 fed6	
部分	bou6 fen6	
暴富	bou6 fu3	
捕風	bou6 fung1	
暴風雪	bou6 fung1 xud3	
暴風雨	bou6 fung1 yu5	
捕風捉影	bou6 fung1 zug1 ying2	
哺雞仔	bou6 gei1 zei2	孵小雞
暴君	bou6 gwen1	
暴行	bou6 heng4	
步行	bou6 heng6	
報紙檔	bou6 ji2 dong3	報攤
暴政	bou6 jing3	
捕鯨	bou6 king4	
捕鯨船	bou6 king4 xun4	
捕撈	bou6 leo4	
暴力	bou6 lig6	
部落	bou6 log6	
暴露	bou6 lou6	
暴龍	bou6 lung4	
步履	bou6 léi5	
步履維艱	bou6 léi5 wei4 gan1	
暴亂	bou6 lün6	
暴民	bou6 men4	
部門	bou6 mun4	
捕拿	bou6 na4	
暴怒	bou6 nou6	
部署	bou6 qu5	
捕殺	bou6 sad3	
步哨	bou6 sao3	
捕手	bou6 seo2	
暴瀉	bou6 sé3	急速下滑
埗頭	bou6 teo4	碼頭，渡口
暴殄天物	bou6 tin5 tin1 med6	
暴跳如雷	bou6 tiu3 yu4 lêu4	
暴徒	bou6 tou4	
步話機	bou6 wa2 géi1	
捕獲	bou6 wog6	
捕食	bou6 xig6	
捕鼠器	bou6 xu2 héi3	
暴飲暴食	bou6 yem2 bou6 xig6	
步人後塵	bou6 yen4 heo6 cen4	
捕役	bou6 yig6	
捕蠅紙	bou6 ying4 ji2	
捕魚	bou6 yu4	
捕魚船	bou6 yu4 xun4	
暴雨	bou6 yu5	
哺乳	bou6 yu5	
哺乳動物	bou6 yu5 dung6 med6	
暴虐	bou6 yêg6	
步驟	bou6 zeo6	
捕捉	bou6 zug1	
部長	bou6 zêng2	
缽仔糕	bud3 zei2 gou1	用小缽蒸的發麵糕
荸薺	bud6 cei4	
渤海	bud6 hoi2	
渤海灣	bud6 hoi2 wan1	
撥號	bud6 hou6	
勃起	bud6 héi2	
勃然	bud6 yin4	
勃然大怒	bud6 yin4 dai6 nou6	
撥冗	bud6 yung2	
book	bug1	預訂
卜卦	bug1 gwa3	
book機票	bug1 géi1 piu3	訂機票
book唔到位	bug1 m4 dou2 wei2	訂不到座兒
卜筮	bug1 sei6	
book位	bug1 wei2	訂座兒，預定位置，預定座位
book酒店	bug1 zeo2 dim3	訂酒店
伏	bug6	趴，俯伏
瀑布	bug6 bou3	
伏低	bug6 dei1	趴下
曝光	bug6 gwong1	
伏匿匿	bug6 néi1 néi1	捉迷藏
曝曬	bug6 sai3	
僕人	bug6 yen4	
伏兒人	bug6 yi1 yen1	捉迷藏
僕役	bug6 yig6	
杯	bui1	杯子
杯葛	bui1 god3	抵制
杯薦	bui1 jin2	杯墊
