开放粤语词典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［刘锡祥拼音］	［国语解释］
不幸中之大幸	bat1 hang6 jung1 ji1 daai6 hang6	
不合	bat1 hap6	
不合标准	bat1 hap6 biu1 jun2	
不合作	bat1 hap6 jok3	
不合规定	bat1 hap6 kwai1 ding6	
不合时宜	bat1 hap6 si4 yi4	
不喜欢	bat1 hei2 foon1	
不好	bat1 ho2	
不可避免	bat1 hoh2 bei6 min5	
不可多得	bat1 hoh2 doh1 dak1	
不可救药	bat1 hoh2 gau3 yeuk6	
不可告人	bat1 hoh2 go3 yan4	
不可限量	bat1 hoh2 haan6 leung6	
不可开交	bat1 hoh2 hoi1 gaau1	
不可知论	bat1 hoh2 ji1 lun6	
不可战胜	bat1 hoh2 jin3 sing3	
不可捉摸	bat1 hoh2 juk1 moh2	
不可终日	bat1 hoh2 jung1 yat6	
不可理喻	bat1 hoh2 lei5 yue6	
不可名状	bat1 hoh2 ming4 jong6	
不可磨灭	bat1 hoh2 moh4 mit6	
不可能	bat1 hoh2 nang4	
不可旁贷	bat1 hoh2 pong4 taai3	
不可收拾	bat1 hoh2 sau1 sap6	
不可想像	bat1 hoh2 seung2 jeung6	
不可思议	bat1 hoh2 si1 yi5	
不可数	bat1 hoh2 so2	
不可同日而语	bat1 hoh2 tung4 yat6 yi4 yue5	
不可或缺	bat1 hoh2 waak6 kuet3	
不可讳言	bat1 hoh2 wai5 yin4	
不可一世	bat1 hoh2 yat1 sai3	
不可言喻	bat1 hoh2 yin4 yue6	
不可逾越	bat1 hoh2 yue4 yuet6	
不学无术	bat1 hok6 mo4 sut6	
不寒而栗	bat1 hon4 yi4 lut6	
不吭声	bat1 hong4 sing1	
不吭一声	bat1 hong4 yat1 sing1	
不像话	bat1 jeung6 wa2	
不像样	bat1 jeung6 yeung6	
不知几	bat1 ji1 gei2	很，真，真的很
不知所云	bat1 ji1 soh2 wan4	
不只	bat1 ji2	
不治	bat1 ji6	
不治之症	bat1 ji6 ji1 jing3	
不自量力	bat1 ji6 leung6 lik6	
不即不离	bat1 jik1 bat1 lei4	
不值一顾	bat1 jik6 yat1 goo3	
不值一文	bat1 jik6 yat1 man4	
不值一提	bat1 jik6 yat1 tai4	
不战而败	bat1 jin3 yi4 baai6	
不战而退	bat1 jin3 yi4 tui3	
不再	bat1 joi3	
不在场	bat1 joi6 cheung4	
不在乎	bat1 joi6 foo4	
不在话下	bat1 joi6 wa2 ha6	
不在意	bat1 joi6 yi3	
不绝于耳	bat1 juet6 yue1 yi5	
笔嘴	bat1 jui2	笔尖儿，钢笔尖儿
不足挂齿	bat1 juk1 gwa3 chi2	
不足轻重	bat1 juk1 hing1 chung5	
不足为训	bat1 juk1 wai4 fan3	
不足为奇	bat1 juk1 wai4 kei4	
不足为外人道	bat1 juk1 wai4 ngoi6 yan4 do6	
不足为凭	bat1 juk1 wai4 pang4	
不进则退	bat1 jun3 jak1 tui3	
不中不西	bat1 jung1 bat1 sai1	
不及	bat1 kap6	
不及格	bat1 kap6 gaak3	
不及物动词	bat1 kap6 mat6 dung6 chi4	
不亢不卑	bat1 kong3 bat1 bei1	
不愧	bat1 kwai5	
不冷不热	bat1 laang5 bat1 yit6	
抔垃圾	bat1 laap6 saap3	撮垃圾
不溜	bat1 lau1	一向，一直，向来，经常
不理不睬	bat1 lei5 bat1 choi2	
不利	bat1 lei6	
不了了之	bat1 liu5 liu5 ji1	
不劳而获	bat1 lo4 yi4 wok6	
筚路蓝缕	bat1 lo6 laam4 lui5	
不伦不类	bat1 lun4 bat1 lui6	
不论	bat1 lun6	
不吝赐教	bat1 lun6 chi3 gaau3	
不论怎么	bat1 lun6 jam2 moh1	
不论怎样	bat1 lun6 jam2 yeung6	
不吝指正	bat1 lun6 ji2 jing3	
不论如何	bat1 lun6 yue4 hoh4	
笔墨	bat1 mak6	
不问	bat1 man6	
不问前因后果	bat1 man6 chin4 yan1 hau6 gwoh2	
不问青红皂白	bat1 man6 ching1 hung4 jo6 baak6	
不问是非曲直	bat1 man6 si6 fei1 kuk1 jik6	
不谋而合	bat1 mau5 yi4 hap6	
不寐	bat1 mei6	
不免	bat1 min5	
不明不白	bat1 ming4 bat1 baak6	
毕命	bat1 ming6	
不无	bat1 mo4	
不无可疑	bat1 mo4 hoh2 yi4	
不无可疑之处	bat1 mo4 hoh2 yi4 ji1 chue3	
笔帽	bat1 mo6	
不务正业	bat1 mo6 jing3 yip6	
不外乎	bat1 ngoi6 foo4	
不奈烦	bat1 noi6 faan4	
不安本分	bat1 on1 boon2 fan1	
笔刨	bat1 paau2	铅笔刀，转笔刀，削铅笔器
不偏不倚	bat1 pin1 bat1 yi2	
不平等条约	bat1 ping4 dang2 tiu4 yeuk3	
不平则鸣	bat1 ping4 jak1 ming4	
不平而鸣	bat1 ping4 yi4 ming4	
不三不四	bat1 saam1 bat1 sei3	
不慎	bat1 san6	
毕生	bat1 sang1	
不失	bat1 sat1	
不失众望	bat1 sat1 jung3 mong6	
不失良机	bat1 sat1 leung4 gei1	
不失为	bat1 sat1 wai4	
不实	bat1 sat6	
不修边幅	bat1 sau1 bin1 fuk1	
不守信用	bat1 sau2 sun3 yung6	
不锈钢	bat1 sau3 gong3	
不受欢迎	bat1 sau6 foon1 ying4	
不伤和气	bat1 seung1 woh4 hei3	
不时	bat1 si4	不定时地，每时每刻，无时无刻，时时刻刻
不惜	bat1 sik1	
不适	bat1 sik1	
不息	bat1 sik1	
不惜牺牲	bat1 sik1 hei1 saang1	
不惜一切	bat1 sik1 yat1 chai3	
不惜一战	bat1 sik1 yat1 jin3	
不食人间烟火	bat1 sik6 yan4 gaan1 yin1 foh2	
不善	bat1 sin6	
不善于	bat1 sin6 yue1	
不升反降	bat1 sing1 faan2 gong3	
不胜负荷	bat1 sing1 foo3 hoh6	
不胜感激	bat1 sing1 gam2 gik1	
不胜酒力	bat1 sing1 jau2 lik6	
不胜其烦	bat1 sing1 kei4 faan4	
不胜枚举	bat1 sing1 mooi4 gui2	
不成体统	bat1 sing4 tai2 tung2	
不屑	bat1 sit3	
不屑一顾	bat1 sit3 yat1 goo3	
不宣而战	bat1 suen1 yi4 jin3	
[抔]水	bat1 sui2	舀水
不逊	bat1 sun3	
笔塔	bat1 taap3	笔帽，笔套
不透明	bat1 tau3 ming4	
不停	bat1 ting4	
不吐不快	bat1 to3 bat1 faai3	
不妥	bat1 toh2	
[抔]汤	bat1 tong1	舀汤
不同点	bat1 tung4 dim2	
不同凡响	bat1 tung4 faan4 heung2	
不同以往	bat1 tung4 yi5 wong5	
笔画	bat1 wa2	
不怀好意	bat1 waai4 ho2 yi3	
不惑之年	bat1 waak6 ji1 nin4	
不遗余力	bat1 wai4 yue4 lik6	
不屈不挠	bat1 wat1 bat1 naau4	
不和	bat1 woh4	
不遑	bat1 wong4	
不忍	bat1 yan2	
不忍卒睹	bat1 yan2 jut1 do2	
不忍心	bat1 yan2 sam1	
不孕	bat1 yan6	
不孕症	bat1 yan6 jing3	
不入虎穴	bat1 yap6 foo2 yuet6	
笔友	bat1 yau5	
不夜城	bat1 ye6 sing4	
不宜	bat1 yi4	
不宜	bat1 yi4	不如
不以为苦	bat1 yi5 wai4 foo2	
不以为然	bat1 yi5 wai4 yin4	
不以语人	bat1 yi5 yue6 yan4	
不二法门	bat1 yi6 faat3 moon4	
不二价	bat1 yi6 ga3	
不义之财	bat1 yi6 ji1 choi4	
不亦乐乎	bat1 yik6 lok6 foo4	
不翼而飞	bat1 yik6 yi4 fei1	
不厌其详	bat1 yim3 kei4 cheung4	
不厌其烦	bat1 yim3 kei4 faan4	
不然	bat1 yin4	
不言而喻	bat1 yin4 yi4 yue6	
毕业	bat1 yip6	
毕业典礼	bat1 yip6 din2 lai5	
毕业生	bat1 yip6 saang1	
毕业相	bat1 yip6 seung2	毕业照
不如	bat1 yue4	
不如下次先啦	bat1 yue4 ha6 chi3 sin1 la1	下次吧
不予置评	bat1 yue5 ji3 ping4	
不远千里	bat1 yuen5 chin1 lei5	
不远千里而来	bat1 yuen5 chin1 lei5 yi4 loi4	
不悦	bat1 yuet6	
不容	bat1 yung4	
不容分说	bat1 yung4 fan1 suet3	
不容置辩	bat1 yung4 ji3 bin6	
不容置疑	bat1 yung4 ji3 yi4	
拔草	bat6 cho2	
拔除	bat6 chui4	
拔出	bat6 chut1	
拔地而起	bat6 dei6 yi4 hei2	
拔刀	bat6 do1	
拔刀相助	bat6 do1 seung1 joh6	
拔脚	bat6 geuk3	
拔腿就跑	bat6 geuk3 jau6 paau2	
拔剑	bat6 gim3	
拔河	bat6 hoh4	
拔河比赛	bat6 hoh4 bei2 choi3	
拔擢	bat6 jok6	
拔群	bat6 kwan4	
拔苗助长	bat6 miu4 joh6 jeung2	
拔毛	bat6 mo4	
拔锚	bat6 naau4	
拔牙	bat6 nga4	
拔身	bat6 san1	
跋涉	bat6 sip3	
拔腿	bat6 tui2	
跋扈	bat6 woo6	
啤酒	be1 jau2	
啤酒肚	be1 jau2 to5	大肚子
啤梨	be1 lei2	洋梨，西洋梨，澳洲梨
啤令	be1 ling2	滚珠轴承轴承
悲惨	bei1 chaam2	
悲恸	bei1 dung6	
悲愤填膺	bei1 fan5 tin4 ying1	
悲观	bei1 goon1	
卑职	bei1 jik1	
卑贱	bei1 jin6	
卑俗	bei1 juk6	
悲剧	bei1 kek6	
卑劣	bei1 luet3	
卑劣性	bei1 luet3 sing3	
碑文	bei1 man4	
卑微	bei1 mei4	
悲哀	bei1 oi1	
卑鄙	bei1 pei2	
卑鄙无耻	bei1 pei2 mo4 chi2	
裨益	bei1 yik1	
畀	bei2	给
髀	bei2	腿，大腿
畀	bei2	被，受，让
畀差人拉	bei2 chaai1 yan4 laai1	被警察逮捕
彼此	bei2 chi2	
畀钱	bei2 chin2	付钱，给钱
畀钱我	bei2 chin2 ngoh5	给我钱
比赛	bei2 choi3	
畀翻	bei2 faan1	还给
畀翻钱	bei2 faan1 chin2	还钱
比分	bei2 fan1	
畀非士	bei2 fei1 si2	给面子
比方	bei2 fong1	
比较	bei2 gaau3	
比坚尼	bei2 gin1 nei4	比基尼，比基尼泳衣
畀过	bei2 gwoh3	交给
畀考起	bei2 haau2 hei2	被考倒
畀利是	bei2 lai6 si6	给红包
比率	bei2 lut6	
比唔上	bei2 m4 seung6	比不上
畀问起	bei2 man6 hei2	被问倒
畀面	bei2 min2	赏脸，给面子
畀面色佢睇	bei2 min6 sik1 kui5 tai2	给脸色他看
畀闹到死死吓	bei2 naau6 do3 sei2 sei2 ha2	被骂得垂头丧气，被骂得狗血淋头，挨一顿臭骂
畀闹到一戙都冇	bei2 naau6 do3 yat1 dung6 do1 mo5	被骂得一钱不值，被骂得狗血淋头，挨一顿臭骂
畀闹到一只屐	bei2 naau6 do3 yat1 jek3 kek6	被骂得垂头丧气，被骂得狗血淋头，挨一顿臭骂
畀闹到一面屁	bei2 naau6 do3 yat1 min6 pei3	被骂得满脸羞惭，被骂得无地自容，被骂得狗血淋头
畀银纸	bei2 ngan4 ji2	给钱
彼岸	bei2 ngon6	
畀心机	bei2 sam1 gei1	用心，下功夫，努力
畀心机做	bei2 sam1 gei1 jo6	努力做
匕首	bei2 sau2	
畀锡坏咗	bei2 sek3 waai6 joh2	被惯坏了，给人惯坏了
畀雪藏	bei2 suet3 chong4	被打入冷宫，暂时闲置
畀水沉死	bei2 sui2 jam6 sei2	被水淹死
畀水浊亲	bei2 sui2 juk6 chan1	给水呛了
畀…睇	bei2 tai2	给…看
畀贴士	bei2 tip1 si2	给小费
畀人唱衰	bei2 yan4 cheung3 sui1	被别人诋毁，被别人戳脊梁骨
畀人棍咗	bei2 yan4 gwan3 joh2	给人骗了，被人骗了，被骗
畀人虾	bei2 yan4 ha1	软弱，给别人欺负
畀人恰	bei2 yan4 hap1	让别人欺负了
畀人箍颈	bei2 yan4 koo1 geng2	被人抢劫
畀人闹	bei2 yan4 naau6	挨骂，被骂，让人骂
畀人呃	bei2 yan4 ngaak1	受骗，被骗
畀人拼沉	bei2 yan4 peng1 cham4	被打败，给人打输
畀人识穿	bei2 yan4 sik1 chuen1	让人识破
畀人玩死	bei2 yan4 waan2 sei2	被人害苦
比喻	bei2 yue6	
痹	bei3	麻，麻痹，麻木
痹到死	bei3 do3 sei2	肉麻死了，肉麻得要命
秘笈	bei3 kap1	
秘诀	bei3 kuet3	
秘捞	bei3 lo1	搞外快，赚取外快，业余兼职
秘密	bei3 mat6	
泌尿	bei3 niu6	
秘书	bei3 sue1	
庇护	bei3 woo6	
避	bei6	躲
被迫	bei6 baak1	
被捕	bei6 bo6	
鼻窦炎	bei6 dau6 yim4	
被动	bei6 dung6	
备份	bei6 fan6	
备课	bei6 foh3	
避风塘	bei6 fung1 tong4	避风港
被告	bei6 go3	
鼻哥	bei6 goh1	鼻子
鼻哥窿 	bei6 goh1 lung1	鼻孔
避开	bei6 hoi1	
被害	bei6 hoi6	
被害人	bei6 hoi6 yan4	
鼻腔	bei6 hong1	
鼻血	bei6 huet3	
被控	bei6 hung3	
备战	bei6 jin3	
鼻祖	bei6 jo2	
备注	bei6 jue3	
被困	bei6 kwan3	
鼻梁	bei6 leung4	
避唔切	bei6 m4 chit3	来不及躲开
避免	bei6 min5	
备忘录	bei6 mong4 luk6	
备案	bei6 on3	
鼻塞	bei6 sak1	
备受	bei6 sau6	
鼻息	bei6 sik1	
鼻水	bei6 sui2	
鼻涕	bei6 tai3	
鼻涕虫	bei6 tai3 chung4	
备胎	bei6 toi1	
鼻音	bei6 yam1	
备而不用	bei6 yi4 bat1 yung6	
鼻炎	bei6 yim4	
鼻烟	bei6 yin1	
鼻烟盒	bei6 yin1 hap6	
鼻咽癌	bei6 yin1 ngaam4	
备用	bei6 yung6	
备用品	bei6 yung6 ban2	
饼干	beng2 gon1	
饼干	beng2 gon1	苏打饼
饼干店	beng2 gon1 dim3	
饼干盒	beng2 gon1 hap6	
饼仔	beng2 jai2	饼干
饼咭	beng2 kat1	饼券
饼师	beng2 si1	面包师傅
饼屑	beng2 sit3	
饼印	beng2 yan3	饼模子
柄	beng3	藏，收藏
病到声沙	beng6 do3 seng1 sa1	病得声音沙哑了
病毒	beng6 duk6	
病君	beng6 gwan1	老病号，病夫
病咗	beng6 joh2	生病，病了，生病了
病例	beng6 lai6	
病历	beng6 lik6	
病人	beng6 yan4	
病恹恹	beng6 yim1 yim1	
病癒	beng6 yue6	
病源	beng6 yuen4	
BB机	bi1 bi1 gei1	呼叫机，BB机
啤啤	bi4 bi1	小孩，婴儿，婴孩，小孩儿
啤啤车	bi4 bi1 che1	婴儿车
啤啤仔	bi4 bi1 jai2	小婴儿，小男孩，男婴儿，小小子
啤啤女	bi4 bi1 nui2	女婴儿，小女孩，小丫头
逼	bik1	挤，拥挤
逼巴士	bik1 ba1 si2	挤公车，挤公共汽车
逼迫	bik1 baak1	
壁橱	bik1 chui4	
逼到鬼噉	bik1 do3 gwai2 gam2	挤得要命
逼到埋身	bik1 do3 maai4 san1	事情迫到头上来
壁虎	bik1 foo2	
逼供	bik1 gung1	
逼过嚟	bik1 gwoh3 lei4	挤过来
逼冚晒	bik1 ham6 saai3	挤得紧紧的
碧海	bik1 hoi2	
碧血	bik1 huet3	
壁纸	bik1 ji2	
逼嚟逼去	bik1 lei4 bik1 hui3	挤来挤去
壁炉	bik1 lo4	
碧绿	bik1 luk6	
碧绿色	bik1 luk6 sik1	
碧眼	bik1 ngaan5	
逼上梁山	bik1 seung5 leung4 saan1	
壁画	bik1 wa2	
逼人	bik1 yan4	拥挤
逼入去	bik1 yap6 hui3	挤进去
碧玉	bik1 yuk6	
鞭	bin1	鞭子
边	bin1	哪，哪里
鞭笞	bin1 chi1	
边塞	bin1 choi3	
边度	bin1 do6	哪里
边防	bin1 fong4	
边防要塞	bin1 fong4 yiu3 choi3	
边界	bin1 gaai3	
边界线	bin1 gaai3 sin3	
边疆	bin1 geung1	
边境	bin1 ging2	
边个	bin1 goh3	谁，哪一个
边个噶	bin1 goh3 ga3	谁的？
边个嘅	bin1 goh3 ge3	谁的
辫仔	bin1 jai2	辫子
边际	bin1 jai3	
边种	bin1 jung2	哪种
鞭炮	bin1 paau3	
边处	bin1 sue3	哪里
边处系呢	bin1 sue3 hai6 le3	哪里哪里
鞭挞	bin1 taat3	
边一年	bin1 yat1 nin4	哪一年
边日	bin1 yat6	哪一天
边有咁大只蛤乸随街跳	bin1 yau5 gam3 daai6 jek3 gap1 na2 chui4 gaai1 tiu3	天上不会掉馅儿饼，没有那么便宜的事
边缘	bin1 yuen4	
贬低	bin2 dai1	
扁豆	bin2 dau6	
匾额	bin2 ngaak6	
扁平	bin2 ping4	
扁圆	bin2 yuen4	
变压器	bin3 aat3 hei3	
变迁	bin3 chin1	
变调	bin3 diu6	
变化	bin3 fa3	
变化多端	bin3 fa3 doh1 duen1	
变色龙	bin3 sik1 lung4	
变成	bin3 sing4	
变态	bin3 taai3	
便	bin6	面，边
辨别	bin6 bit6	
辨别	bin6 bit6	
便当	bin6 dong3	
辩方	bin6 fong1	
便服	bin6 fuk6	
变更	bin6 gang1	
便捷	bin6 jit6	
便利	bin6 lei6	
便利商店	bin6 lei6 seung1 dim3	
辩论	bin6 lun6	
便溺	bin6 niu6	
辩护	bin6 woo6	
辨认	bin6 ying6	
乒乓波	bing1 bam1 boh1	乒乓球
兵不血刃	bing1 bat1 huet3 yan6	
兵不厌诈	bing1 bat1 yim3 ja3	
兵变	bing1 bin3	
冰雹	bing1 bok6	
冰冻	bing1 dung3	
兵法	bing1 faat3	
兵荒马乱	bing1 fong1 ma5 luen6	
兵家	bing1 ga1	
兵家必争之地	bing1 ga1 bit1 jang1 ji1 dei6	
兵家大忌	bing1 ga1 daai6 gei6	
兵贵神速	bing1 gwai3 san4 chuk1	
兵器	bing1 hei3	
兵卒	bing1 jut1	
兵临城下	bing1 lam4 sing4 ha6	
兵力	bing1 lik6	
兵马俑	bing1 ma5 yung2	
冰山	bing1 saan1	
冰室	bing1 sat1	冷饮店
冰上表演	bing1 seung6 biu2 yin2	
冰上运动	bing1 seung6 wan6 dung6	
兵事	bing1 si6	
兵士	bing1 si6	
冰糖	bing1 tong4	
兵刃	bing1 yan6	
兵役	bing1 yik6	
兵役法	bing1 yik6 faat6	
兵营	bing1 ying4	
兵戎	bing1 yung4	
抦	bing2	打，揍，殴打
秉持	bing2 chi4	
丙等	bing2 dang2	
屏气	bing2 hei3	
屏气凝神	bing2 hei3 ying4 san4	
秉烛夜游	bing2 juk1 ye6 yau4	
丙级	bing2 kap1	
屏息	bing2 sik1	
屏息以待	bing2 sik1 yi5 doi3	
秉性	bing2 sing3	
秉承	bing2 sing4	
丙酮	bing2 tung4	
并发症	bing3 faat3 jing3	
病变	bing6 bin3	
并且	bing6 che2	
并存	bing6 chuen4	
并非	bing6 fei1	
并肩	bing6 gin1	
并肩作战	bing6 gin1 jok3 jin3	
并肩而行	bing6 gin1 yi4 hang4	
病理学	bing6 lei5 hok6	
并列	bing6 lit6	
并列译文	bing6 lit6 yik6 man4	
并未	bing6 mei6	
并无	bing6 mo4	
并无不可	bing6 mo4 bat1 hoh2	
病魔	bing6 moh1	
病魔缠身	bing6 moh1 chin4 san1	
病殁	bing6 moot6	
并排	bing6 paai4	
病逝	bing6 sai6	
病体	bing6 tai2	
并用	bing6 yung6	
咇	bit1	吱
咇出嚟	bit1 chut1 lei4	吱出来
觱篥	bit1 lut6	
必需	bit1 sui1	
必须	bit1 sui1	
必需品	bit1 sui1 ban2	
必要	bit1 yiu3	
鳖甲	bit3 gaap3	
憋气	bit3 hei3	
憋闷	bit3 moon6	
别扭	bit3 nau2	
鳖鱼	bit3 yue4	
别的	bit6 dik1	
蹩脚	bit6 geuk3	
别针	bit6 jam1	
瘪三	bit6 saam1	
别墅	bit6 sui6	
表	biu1	手表
标本	biu1 boon2	
飙车	biu1 che1	
标青	biu1 cheng1	貌美出众，拔尖儿，超群
标签	biu1 chim1	
表厂	biu1 chong2	
表带	biu1 daai3	
表店	biu1 dim3	
飙风	biu1 fung1	
镖局	biu1 guk6	
表壳	biu1 hok3	
标汗	biu1 hon6	出汗，流汗，冒汗
标准	biu1 jun2	
标准化	biu1 jun2 fa3	
表链	biu1 lin4	
表面	biu1 min6	
标参	biu1 sam1	绑架，绑票
飙升	biu1 sing1	
标题	biu1 tai4	
彪形大汉	biu1 ying4 daai6 hon3	
标语	biu1 yue5	
表肉	biu1 yuk6	表瓤，表芯
表情	biu2 ching4	
表错情	biu2 choh3 ching4	弄错，误解，误会
表达	biu2 daat6	
表决	biu2 kuet3	
表决权	biu2 kuet3 kuen4	
表面	biu2 min6	
表示	biu2 si6	
表扬	biu2 yeung4	
表演	biu2 yin2	
表现	biu2 yin6	
煲	bo1	煮
煲茶	bo1 cha4	熬药
煲电话粥	bo1 din6 wa2 juk1	打电话聊大天，打马拉松电话，长篇大论，打电话聊天
煲饭	bo1 faan6	煮饭
煲咖啡	bo1 ga3 fe1	煮咖啡
煲仔饭	bo1 jai2 faan6	砂锅饭
煲粥	bo1 juk1	煮粥
晡礼	bo1 lai5	
煲凉茶	bo1 leung4 cha4	煮去火汤药，煮清凉茶
煲冇米粥	bo1 mo5 mai5 juk1	说没影儿的事
煲冇米粥，水汪汪	bo1 mo5 mai5 juk1 sui2 wong1 wong1	三十晚上走夜路，没影儿的事
煲水	bo1 sui2	瞎编，无中生有
煲水	bo1 sui2	烧水
煲呔	bo1 taai1	领结
煲汤	bo1 tong1	煮汤
簿	bo2	本子
补品	bo2 ban2	
保镖	bo2 biu1	
宝宝	bo2 bo2	
补报	bo2 bo3	
宝贝	bo2 booi3	
宝贝仔	bo2 booi3 jai2	宝贝儿子
宝刹	bo2 chaat3	
保持	bo2 chi4	
保持中立	bo2 chi4 jung1 laap6	
保存	bo2 chuen4	
补充	bo2 chung1	
补充品	bo2 chung1 ban2	
宝特瓶	bo2 dak6 ping4	
宝地	bo2 dei6	
宝典	bo2 din2	
补丁	bo2 ding1	
宝刀	bo2 do1	
宝刀未老	bo2 do1 mei6 lo5	
宝岛	bo2 do2	
补课	bo2 foh3	
宝库	bo2 foo3	
补家用	bo2 ga1 yung2	补贴家里的开支
宝鉴	bo2 gaam3	
补救	bo2 gau3	
宝剑	bo2 gim3	
保管	bo2 goon2	
保管费	bo2 goon2 fai3	
保管箱	bo2 goon2 seung1	
宝眷	bo2 guen3	
宝贵	bo2 gwai3	
补过	bo2 gwoh3	
补鞋	bo2 haai4	
补鞋匠	bo2 haai4 jeung6	
补考	bo2 haau2	
保险	bo2 him2	
保险费	bo2 him2 fai3	
保险金	bo2 him2 gam1	
保险公司	bo2 him2 gung1 si1	
保险箱	bo2 him2 seung1	
保险丝	bo2 him2 si1	
补血	bo2 huet3	
补血剂	bo2 huet3 jai1	
补血药	bo2 huet3 yeuk6	
补空	bo2 hung1	
补习	bo2 jaap6	
补习班	bo2 jaap6 baan1	
簿仔	bo2 jai2	小本子，笔记本
保障	bo2 jeung3	
保证	bo2 jing3	
宝座	bo2 joh6	
补助费	bo2 joh6 fai3	
补助金	bo2 joh6 gam1	
补助额	bo2 joh6 ngaak6	
宝藏	bo2 jong6	
补缀	bo2 jui6	
补足	bo2 juk1	
保重	bo2 jung6	
补给	bo2 kap1	
补给品	bo2 kap1 ban2	
补给站	bo2 kap1 jaam6	
补缺	bo2 kuet3	
宝蓝	bo2 laam4	
宝蓝色	bo2 laam4 sik1	
保留	bo2 lau4	
堡垒	bo2 lui5	
宝物	bo2 mat6	
保密	bo2 mat6	
保母	bo2 mo2	
鸨母	bo2 mo5	
保姆	bo2 mo5	
褓姆车	bo2 mo5 che1	校车，娃娃车
保你大	bo2 nei5 daai6	服了你了
补牙	bo2 nga4	
保安	bo2 on1	
补票	bo2 piu3	
补修	bo2 sau1	
保守	bo2 sau2	
保守党	bo2 sau2 dong2	
保守主义	bo2 sau2 jue2 yi6	
补写	bo2 se2	
宝石	bo2 sek6	
补偿	bo2 seung4	
补偿金	bo2 seung4 gam1	
补色	bo2 sik1	
保释	bo2 sik1	
保鲜纸	bo2 sin1 ji2	玻璃纸
补选	bo2 suen2	
补水	bo2 sui2	补助费，加班费，补贴
宝塔	bo2 taap3	
补贴	bo2 tip3	
补胎	bo2 toi1	
补遗	bo2 wai4	
保卫	bo2 wai6	
宝位	bo2 wai6	
补镬	bo2 wok6	补救失误
保护	bo2 woo6	
保护国	bo2 woo6 gwok3	
保护主义	bo2 woo6 jue2 yi6	
保佑	bo2 yau6	
补药	bo2 yeuk6	
补养	bo2 yeung5	
保养	bo2 yeung5	
补语	bo2 yue5	
布帛	bo3 baak6	
报酬	bo3 chau4	
布甸	bo3 din1	布丁
报道	bo3 do6	
报导	bo3 do6	
报警	bo3 ging2	
报告	bo3 go3	
布告栏	bo3 go3 laan4	
布褂	bo3 gwa3	
报刊	bo3 hon2	
报纸	bo3 ji2	
报纸佬	bo3 ji2 lo2	卖报的，报贩
布置	bo3 ji3	
报载	bo3 joi3	
布冧	bo3 lam1	洋李子
报名	bo3 ming4	
报仇	bo3 sau4	
哺	bo6	孵
埗	bo6	码头
步兵	bo6 bing1	
步步	bo6 bo6	
步步高升	bo6 bo6 go1 sing1	
步步为营	bo6 bo6 wai4 ying4	
步枪	bo6 cheung1	
暴躁	bo6 cho3	
部署	bo6 chue5	
捕虫	bo6 chung4	
暴跌	bo6 dit3	
步调	bo6 diu6	
步队	bo6 dui6	
暴动	bo6 dung6	
捕快	bo6 faai3	
暴发	bo6 faat3	
暴发户	bo6 faat3 woo6	
部分	bo6 fan6	
步伐	bo6 fat6	
暴富	bo6 foo3	
捕风	bo6 fung1	
捕风捉影	bo6 fung1 juk1 ying2	
暴风雪	bo6 fung1 suet3	
暴风雨	bo6 fung1 yue5	
哺鸡仔	bo6 gai1 jai2	孵小鸡
暴君	bo6 gwan1	
暴行	bo6 hang4	
步行	bo6 hang6	
步骤	bo6 jau6	
部长	bo6 jeung2	
报纸档	bo6 ji2 dong3	报摊
暴政	bo6 jing3	
捕捉	bo6 juk1	
捕鲸	bo6 king4	
捕鲸船	bo6 king4 suen4	
捕捞	bo6 lau4	
步履	bo6 lei5	
步履维艰	bo6 lei5 wai4 gaan1	
暴力	bo6 lik6	
暴露	bo6 lo6	
部落	bo6 lok6	
暴乱	bo6 luen6	
暴龙	bo6 lung4	
暴民	bo6 man4	
部门	bo6 moon4	
捕拿	bo6 na4	
暴怒	bo6 no6	
捕杀	bo6 saat3	
步哨	bo6 saau3	
捕手	bo6 sau2	
暴泻	bo6 se3	急速下滑
捕食	bo6 sik6	
捕鼠器	bo6 sue2 hei3	
埗头	bo6 tau4	码头，渡口
暴殄天物	bo6 tin5 tin1 mat6	
暴跳如雷	bo6 tiu3 yue4 lui4	
暴徒	bo6 to4	
步话机	bo6 wa2 gei1	
捕获	bo6 wok6	
暴饮暴食	bo6 yam2 bo6 sik6	
步人后尘	bo6 yan4 hau6 chan4	
暴虐	bo6 yeuk6	
捕役	bo6 yik6	
捕蝇纸	bo6 ying4 ji2	
捕鱼	bo6 yue4	
捕鱼船	bo6 yue4 suen4	
哺乳	bo6 yue5	
暴雨	bo6 yue5	
哺乳动物	bo6 yue5 dung6 mat6	
波	boh1	奶，乳房
波	boh1	球
波	boh1	排档，档
波板	boh1 baan2	球拍，球拍子，乒乓球拍
波钵	boh1 boot3	球鞋，运动鞋
波场	boh1 cheung4	球场
菠菜	boh1 choi3	
波飞	boh1 fei1	球票，球赛的票
波裤	boh1 foo3	球裤，运动裤
波鞋	boh1 haai4	球鞋，运动鞋
