开放粤语词典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［广州拼音］	［国语解释］
不遑	bed1 wong4	
不时	bed1 xi4	不定时地，每时每刻，无时无刻，时时刻刻
不屑	bed1 xid3	
不屑一顾	bed1 xid3 yed1 gu3	
不息	bed1 xig1	
不适	bed1 xig1	
不惜	bed1 xig1	
不惜牺牲	bed1 xig1 héi1 sang1	
不惜一切	bed1 xig1 yed1 cei3	
不惜一战	bed1 xig1 yed1 jin3	
不食人间烟火	bed1 xig6 yen4 gan1 yin1 fo2	
不善	bed1 xin6	
不善于	bed1 xin6 yu1	
不升反降	bed1 xing1 fan2 gong3	
不胜负荷	bed1 xing1 fu3 ho6	
不胜感激	bed1 xing1 gem2 gig1	
不胜其烦	bed1 xing1 kéi4 fan4	
不胜枚举	bed1 xing1 mui4 gêu2	
不胜酒力	bed1 xing1 zeo2 lig6	
不成体统	bed1 xing4 tei2 tung2	
不宣而战	bed1 xun1 yi4 jin3	
不入虎穴	bed1 yeb6 fu2 yud6	
不忍	bed1 yen2	
不忍心	bed1 yen2 sem1	
不忍卒睹	bed1 yen2 zêd1 dou2	
不孕	bed1 yen6	
不孕症	bed1 yen6 jing3	
笔友	bed1 yeo5	
不宜	bed1 yi4	
不宜	bed1 yi4	不如
不以为苦	bed1 yi5 wei4 fu2	
不以为然	bed1 yi5 wei4 yin4	
不以语人	bed1 yi5 yu6 yen4	
不二法门	bed1 yi6 fad3 mun4	
不二价	bed1 yi6 ga3	
不义之财	bed1 yi6 ji1 coi4	
毕业	bed1 yib6	
毕业典礼	bed1 yib6 din2 lei5	
毕业生	bed1 yib6 sang1	
毕业相	bed1 yib6 sêng2	毕业照
不亦乐乎	bed1 yig6 log6 fu4	
不翼而飞	bed1 yig6 yi4 féi1	
不厌其详	bed1 yim3 kéi4 cêng4	
不厌其烦	bed1 yim3 kéi4 fan4	
不然	bed1 yin4	
不言而喻	bed1 yin4 yi4 yu6	
不如	bed1 yu4	
不如下次先啦	bed1 yu4 ha6 qi3 xin1 la1	下次吧
不予置评	bed1 yu5 ji3 ping4	
不悦	bed1 yud6	
不远千里	bed1 yun5 qin1 léi5	
不远千里而来	bed1 yun5 qin1 léi5 yi4 loi4	
不容	bed1 yung4	
不容分说	bed1 yung4 fen1 xud3	
不容置辩	bed1 yung4 ji3 bin6	
不容置疑	bed1 yung4 ji3 yi4	
不夜城	bed1 yé6 xing4	
不再	bed1 zoi3	
不在场	bed1 zoi6 cêng4	
不在乎	bed1 zoi6 fu4	
不在话下	bed1 zoi6 wa2 ha6	
不在意	bed1 zoi6 yi3	
不足挂齿	bed1 zug1 gwa3 qi2	
不足轻重	bed1 zug1 hing1 cung5	
不足为训	bed1 zug1 wei4 fen3	
不足为奇	bed1 zug1 wei4 kéi4	
不足为外人道	bed1 zug1 wei4 ngoi6 yen4 dou6	
不足为凭	bed1 zug1 wei4 peng4	
不中不西	bed1 zung1 bed1 sei1	
不进则退	bed1 zên3 zeg1 têu3	
不像话	bed1 zêng6 wa2	
不像样	bed1 zêng6 yêng6	
笔嘴	bed1 zêu2	笔尖儿，钢笔尖儿
拔草	bed6 cou2	
拔出	bed6 cêd1	
拔除	bed6 cêu4	
拔刀	bed6 dou1	
拔刀相助	bed6 dou1 sêng1 zo6	
拔地而起	bed6 déi6 yi4 héi2	
拔剑	bed6 gim3	
拔脚	bed6 gêg3	
拔腿就跑	bed6 gêg3 zeo6 pao2	
拔河	bed6 ho4	
拔河比赛	bed6 ho4 béi2 coi3	
拔群	bed6 kwen4	
拔苗助长	bed6 miu4 zo6 zêng2	
拔毛	bed6 mou4	
拔锚	bed6 nao4	
拔牙	bed6 nga4	
拔身	bed6 sen1	
拔腿	bed6 têu2	
跋扈	bed6 wu6	
跋涉	bed6 xib3	
拔擢	bed6 zog6	
北便	beg1 bin6	北边
北部	beg1 bou6	
北斗星	beg1 deo2 xing1	
北方	beg1 fong1	
北极	beg1 gig6	
北极熊	beg1 gig6 hung4	
北芪	beg1 kéi4	黄芪
北佬	beg1 lou2	北方人
跛	bei1	瘸
跛脚	bei1 gêg3	瘸脚
跛脚佬	bei1 gêg3 lou2	瘸子，跛子
跛手	bei1 seo2	瘸胳膊
赑屃	bei3 ei3	
闭关自守	bei3 gwan1	
闭关	bei3 gwan1	
闭路	bei3 lou6	
闭路电视	bei3 lou6 din6 xi6	
闭幕	bei3 mog6	
闭幕典礼	bei3 mog6 din2 lei5	
闭幕式	bei3 mog6 xig1	
闭目	bei3 mug6	
闭目养神	bei3 mug6 yêng5 sen4	
闭门	bei3 mun4	
闭门造车	bei3 mun4 zou6 cé1	
闭门谢客	bei3 mun4 zé6 hag3	
闭眼	bei3 ngan5	
闭翳	bei3 ngei3	忧愁，愁闷，发愁，心情抑郁
闭塞	bei3 seg1	
闭会	bei3 wui6	
闭月羞花	bei3 yud6 seo1 fa1	
弊	bei6	糟，坏
弊家伙	bei6 ga1 fo2	糟糕
陛下	bei6 ha6	
弊喇	bei6 la3	糟了，完了，坏了，糟糕
敝履	bei6 léi5	
狴犴	bei6 ngon6	
弊案	bei6 on3	
敝人	bei6 yen4	
泵把	bem1 ba2	保险杆
泵车	bem1 cé1	抽水车，消防车
泵气	bem1 héi3	打气
泵水	bem1 sêu2	抽水
彬彬有礼	ben1 ben1 yeo5 lei5	
奔流	ben1 bo1	
奔波	ben1 bo1	
缤纷	ben1 fen1	
奔放	ben1 fong3	
奔赴	ben1 fu6	
宾馆	ben1 gun2	
槟榔	ben1 long4	
槟榔汁	ben1 long4 zeb1	
宾佬	ben1 lou2	菲律宾人
奔马	ben1 ma5	
奔命	ben1 ming6	
宾妹	ben1 mui1	菲律宾少女；菲佣，菲籍女佣
奔跑	ben1 pao2	
宾婆	ben1 po2	菲律宾人
奔驰	ben1 qi4	
奔丧	ben1 song1	
奔腾	ben1 teng4	
奔逃	ben1 tou4	
奔跃	ben1 yêg6	
宾仔	ben1 zei2	菲律宾少年
奔走	ben1 zeo2	
品茶	ben2 ca4	
品德	ben2 deg1	
品格	ben2 gag3	
品格高尚	ben2 gag3 gou1 sêng6	
品管	ben2 gun2	
品行	ben2 heng6	
品学	ben2 hog6	
品学兼优	ben2 hog6 gim1 yeo1	
品红	ben2 hung4	
品级	ben2 keb1	
品蓝	ben2 lam4	
品绿	ben2 lug6	
品类	ben2 lêu6	
品貌	ben2 mao6	
品貌出众	ben2 mao6 cêd1 zung3	
品貌双全	ben2 mao6 sêng1 qun4	
品茗	ben2 ming5	
品目	ben2 mug6	
品味	ben2 méi6	
品牌	ben2 pai4	
品评	ben2 ping4	
品嚐	ben2 sêng4	
品头论足	ben2 teo4 lên6 zug1	
品位	ben2 wei6	
品性	ben2 xing3	
品质	ben2 zed1	
品质管制	ben2 zed1 gun2 zei3	
品种	ben2 zung2	
品种改良	ben2 zung2 goi2 lêng4	
鬓边	ben3 bin1	
鬓发	ben3 fad3	
鬓发皆白	ben3 fad3 gai1 bag6	
鬓发皓然	ben3 fad3 hou6 yin4	
鬓角	ben3 gog3	
摈弃	ben3 héi3	
殡殓	ben3 lim5	
鬓霜	ben3 sêng1	
殡仪馆	ben3 yi4 gun2	
笨猪跳	ben6 ju1 tiu3	蹦极跳，高空弹跳
笨拙	ben6 jud3	
崩	beng1	破，缺
崩	beng1	分钱
崩口	beng1 heo2	豁嘴，兔唇
崩口碗	beng1 heo2 wun2	缺口碗
崩口人忌崩口碗	beng1 heo2 yen4 géi6 beng1 heo2 wun2	当着矮子别说短话
崩溃	beng1 kui2	
崩牙	beng1 nga4	缺齿
崩牙	beng1 nga4	缺齿，缺牙
崩仔	beng1 zei2	朋克，庞克
崩装	beng1 zong1	莫西干头
BB机	bi1 bi1 géi1	呼叫机，BB机
啤啤	bi4 bi1	小孩，婴儿，婴孩，小孩儿
啤啤车	bi4 bi1 cé1	婴儿车
啤啤女	bi4 bi1 nêu2	女婴儿，小女孩，小丫头
啤啤仔	bi4 bi1 zei2	小婴儿，小男孩，男婴儿，小小子
咇	bid1	吱
咇出嚟	bid1 cêd1 léi4	吱出来
觱篥	bid1 lêd6	
必须	bid1 sêu1	
必需	bid1 sêu1	
必需品	bid1 sêu1 ben2	
必要	bid1 yiu3	
鳖甲	bid3 gab3	
憋气	bid3 héi3	
憋闷	bid3 mun6	
别扭	bid3 neo2	
鳖鱼	bid3 yu4	
别的	bid6 dig1	
蹩脚	bid6 gêg3	
瘪三	bid6 sam1	
别墅	bid6 sêu6	
别针	bid6 zem1	
逼	big1	挤，拥挤
逼巴士	big1 ba1 xi2	挤公车，挤公共汽车
逼迫	big1 bag1	
壁橱	big1 cêu4	
逼到鬼噉	big1 dou3 gwei2 gem2	挤得要命
逼到埋身	big1 dou3 mai4 sen1	事情迫到头上来
壁虎	big1 fu2	
逼供	big1 gung1	
逼过嚟	big1 gwo3 léi4	挤过来
逼冚晒	big1 hem6 sai3	挤得紧紧的
碧海	big1 hoi2	
碧血	big1 hüd3	
壁纸	big1 ji2	
壁炉	big1 lou4	
碧绿	big1 lug6	
碧绿色	big1 lug6 xig1	
逼嚟逼去	big1 léi4 big1 hêu3	挤来挤去
碧眼	big1 ngan5	
逼上梁山	big1 sêng5 lêng4 san1	
壁画	big1 wa2	
逼入去	big1 yeb6 hêu3	挤进去
逼人	big1 yen4	拥挤
碧玉	big1 yug6	
鞭	bin1	鞭子
边	bin1	哪，哪里
边塞	bin1 coi3	
边度	bin1 dou6	哪里
边防	bin1 fong4	
边防要塞	bin1 fong4 yiu3 coi3	
边界	bin1 gai3	
边界线	bin1 gai3 xin3	
边境	bin1 ging2	
边个	bin1 go3	谁，哪一个
边个噶	bin1 go3 ga3	谁的？
边个嘅	bin1 go3 gé3	谁的
边疆	bin1 gêng1	
鞭炮	bin1 pao3	
鞭笞	bin1 qi1	
鞭挞	bin1 tad3	
边处	bin1 xu3	哪里
边处系呢	bin1 xu3 hei6 lé3	哪里哪里
边一年	bin1 yed1 nin4	哪一年
边日	bin1 yed6	哪一天
边有咁大只蛤乸随街跳	bin1 yeo5 gem3 dai6 zég3 geb1 na2 cêu4 gai1 tiu3	天上不会掉馅儿饼，没有那么便宜的事
边缘	bin1 yun4	
辫仔	bin1 zei2	辫子
边际	bin1 zei3	
边种	bin1 zung2	哪种
贬低	bin2 dei1	
扁豆	bin2 deo6	
匾额	bin2 ngag6	
扁平	bin2 ping4	
扁圆	bin2 yun4	
变压器	bin3 ad3 héi3	
变调	bin3 diu6	
变化	bin3 fa3	
变化多端	bin3 fa3 do1 dün1	
变迁	bin3 qin1	
变态	bin3 tai3	
变色龙	bin3 xig1 lung4	
变成	bin3 xing4	
便	bin6	面，边
辨别	bin6 bid6	
辨别	bin6 bid6	
便当	bin6 dong3	
辩方	bin6 fong1	
便服	bin6 fug6	
变更	bin6 geng1	
便捷	bin6 jid6	
便利	bin6 léi6	
便利商店	bin6 léi6 sêng1 dim3	
辩论	bin6 lên6	
便溺	bin6 niu6	
辩护	bin6 wu6	
辨认	bin6 ying6	
兵不血刃	bing1 bed1 hüd3 yen6	
兵不厌诈	bing1 bed1 yim3 za3	
乒乓波	bing1 bem1 bo1	乒乓球
兵变	bing1 bin3	
冰雹	bing1 bog6	
冰冻	bing1 dung3	
兵法	bing1 fad3	
兵荒马乱	bing1 fong1 ma5 lün6	
兵家	bing1 ga1	
兵家必争之地	bing1 ga1 bid1 zeng1 ji1 déi6	
兵家大忌	bing1 ga1 dai6 géi6	
兵贵神速	bing1 gwei3 sen4 cug1	
兵器	bing1 héi3	
兵临城下	bing1 lem4 xing4 ha6	
兵力	bing1 lig6	
兵马俑	bing1 ma5 yung2	
冰山	bing1 san1	
冰室	bing1 sed1	冷饮店
冰上表演	bing1 sêng6 biu2 yin2	
冰上运动	bing1 sêng6 wen6 dung6	
冰糖	bing1 tong4	
兵士	bing1 xi6	
兵事	bing1 xi6	
兵刃	bing1 yen6	
兵役	bing1 yig6	
兵役法	bing1 yig6 fad6	
兵营	bing1 ying4	
兵戎	bing1 yung4	
兵卒	bing1 zêd1	
抦	bing2	打，揍，殴打
丙等	bing2 deng2	
屏气	bing2 héi3	
屏气凝神	bing2 héi3 ying4 sen4	
丙级	bing2 keb1	
秉持	bing2 qi4	
丙酮	bing2 tung4	
屏息	bing2 xig1	
屏息以待	bing2 xig1 yi5 doi3	
秉性	bing2 xing3	
秉承	bing2 xing4	
秉烛夜游	bing2 zug1 yé6 yeo4	
并发症	bing3 fad3 jing3	
病变	bing6 bin3	
并且	bing6 cé2	
并非	bing6 féi1	
并肩	bing6 gin1	
并肩而行	bing6 gin1 yi4 heng4	
并肩作战	bing6 gin1 zog3 jin3	
并列	bing6 lid6	
并列译文	bing6 lid6 yig6 men4	
病理学	bing6 léi5 hog6	
病魔	bing6 mo1	
病魔缠身	bing6 mo1 qin4 sen1	
并无	bing6 mou4	
并无不可	bing6 mou4 bed1 ho2	
病殁	bing6 mud6	
并未	bing6 méi6	
并排	bing6 pai4	
并存	bing6 qun4	
病逝	bing6 sei6	
病体	bing6 tei2	
并用	bing6 yung6	
表	biu1	手表
标本	biu1 bun2	
表厂	biu1 cong2	
飙车	biu1 cé1	
标青	biu1 céng1	貌美出众，拔尖儿，超群
表带	biu1 dai3	
表店	biu1 dim3	
飙风	biu1 fung1	
镖局	biu1 gug6	
表壳	biu1 hog3	
标汗	biu1 hon6	出汗，流汗，冒汗
表链	biu1 lin4	
表面	biu1 min6	
标签	biu1 qim1	
标参	biu1 sem1	绑架，绑票
标题	biu1 tei4	
飙升	biu1 xing1	
彪形大汉	biu1 ying4 dai6 hon3	
标语	biu1 yu5	
表肉	biu1 yug6	表瓤，表芯
标准	biu1 zên2	
标准化	biu1 zên2 fa3	
表错情	biu2 co3 qing4	弄错，误解，误会
表达	biu2 dad6	
表决	biu2 küd3	
表决权	biu2 küd3 kün4	
表面	biu2 min6	
表情	biu2 qing4	
表示	biu2 xi6	
表演	biu2 yin2	
表现	biu2 yin6	
表扬	biu2 yêng4	
波	bo1	球
波	bo1	排档，档
波	bo1	奶，乳房
波板	bo1 ban2	球拍，球拍子，乒乓球拍
波钵	bo1 bud3	球鞋，运动鞋
菠菜	bo1 coi3	
波场	bo1 cêng4	球场
波裤	bo1 fu3	球裤，运动裤
波飞	bo1 féi1	球票，球赛的票
波鞋	bo1 hai4	球鞋，运动鞋
波子	bo1 ji2	玻璃球，弹球，滚珠
波子棋	bo1 ji2 kéi4	跳棋
波珠	bo1 ju1	滚珠，弹球，玻璃球
波罅	bo1 la3	乳沟
波澜	bo1 lan4	
菠萝	bo1 lo4	凤梨
菠萝包	bo1 lo4 bao1	波罗包
菠萝盖	bo1 lo4 goi3	膝盖骨
菠萝油	bo1 lo4 yeo4	波罗包加牛油
波浪	bo1 long6	
波路	bo1 lou6	底细，情况，来头
玻璃	bo1 léi1	
玻璃杯	bo1 léi1 bui1	
玻璃窗	bo1 léi1 cêng1	
玻璃纤维	bo1 léi1 qim1 wei4	
玻璃试管	bo1 léi1 xi3 gun2	
玻璃樽	bo1 léi1 zên1	玻璃瓶
波帽	bo1 mou2	鸭舌帽
波衫	bo1 sam1	球衣，运动衣
波恤	bo1 sêd1	球衣，绒衣，运动衣，卫生衣，长袖运动服
波涛	bo1 tou4	
波士	bo1 xi2	老板，总经理，大老板，上司
噃	bo3	喔，呢
播出	bo3 cêd1	
播放	bo3 fong3	
簸箕	bo3 géi1	
播映	bo3 ying2	
犦	bog1	敲，打，敲打
犦犦斋	bog1 bog1 zai1	私塾
犦亲	bog1 cen1	砸伤，打伤
犦落去	bog1 log6 hêu3	砸下去，打下去
犦落嚟	bog1 log6 léi4	砸下来，打下来
犦湿	bog1 seb1	揍扁，狠揍，揍瘪，殴伤，狠揍一顿
扑嘢	bog1 yé5	性交，做爱
搏	bog3	拼，拼搏，拼命，冒险
坣	bog3	垅，土埂，堤坝
膊	bog3	肩
搏彩	bog3 coi2	碰运气
搏出位	bog3 cêd1 wei2	争着出人头地，标新立异
博取	bog3 cêu2	
博大	bog3 dai6	
搏大胆	bog3 dai6 dam2	赌胆量，赌胆识，赌一下胆识
博大精深	bog3 dai6 jing1 sem1	
博得	bog3 deg1	
搏斗	bog3 deo3	
搏到尽	bog3 dou3 zên6	尽全力，拼搏到底，竭尽全力，拼尽全力，倾尽全力
搏拊	bog3 fu2	
搏击	bog3 gig1	
博古通今	bog3 gu2 tung1 gem1	
驳骨	bog3 gwed1	接骨
驳脚	bog3 gêg3	经纪
搏吓彩	bog3 ha5 coi2	碰碰运气，赌一赌运气
博客	bog3 hag3	
博学	bog3 hog6	
博学多闻	bog3 hog6 do1 men4	
博学多能	bog3 hog6 do1 neng4	
博览会	bog3 lam5 wui2	
搏老命	bog3 lou5 méng6	拼命，卖命，拼老命
搏乱	bog3 lün6	钻空子，混水摸鱼，趁火打劫，乘机捞一把
博物院	bog3 med6	
博物馆	bog3 med6 gun2	
博闻	bog3 men4	
博闻强记	bog3 men4 kêng4 géi3	
搏懵	bog3 mung2	揩油
搏命	bog3 méng6	拼命
搏命噉走	bog3 méng6 gem2 zeo2	拼命地跑
博雅	bog3 nga5	
博鳌论坛	bog3 ngou4 lên6 tan4	
博爱	bog3 oi3	
驳斥	bog3 qig1	
搏晒老命	bog3 sai3 lou5 méng6	拼上老命，拼了老命，竭尽全力
搏晒老命噉	bog3 sai3 lou5 méng6 gem2	拼命地，竭力地，竭尽全力
搏晒命	bog3 sai3 méng6	卖命，拼命，拼老命
搏手	bog3 seo2	交手打架
搏傻	bog3 so4	装疯扮傻，假装糊涂
膊头	bog3 teo4	肩膀
驳回	bog3 wui4	
博施济众	bog3 xi1 zei3 zung3	
博士	bog3 xi6	
博士班	bog3 xi6 ban1	
博士后	bog3 xi6 heo6	
博士学位	bog3 xi6 hog6 wei6	
驳线	bog3 xin3	接线
搏一铺	bog3 yed1 pou1	试一下运气如何
博弈	bog3 yig6	
博奕	bog3 yig6	
搏尽	bog3 zên6	尽全力，竭尽全力拼搏
驳嘴	bog3 zêu2	顶嘴
薄饼	bog6 béng2	
薄罉	bog6 cang1	糯米面烙饼，薄饼，烙饼
薄荷	bog6 ho4	
薄荷脑	bog6 ho4 nou5	
薄荷糖	bog6 ho4 tong4	
薄荷油	bog6 ho4 yeo4	
舶来品	bog6 loi4 ben2	
薄利多销	bog6 léi6 do1 xiu1	
薄弱	bog6 yêg6	
帮衬	bong1 cen3	光顾
帮倒忙	bong1 dou3 mong4	
邦国	bong1 gwog3	
帮闲	bong1 han4	
帮腔	bong1 hong1	
帮凶	bong1 hung1	
梆子	bong1 ji2	
梆子腔	bong1 ji2 hong1	
帮唔到	bong1 m4 dou2	帮不了
帮唔到手	bong1 m4 dou2 seo2	帮不上忙
帮忙	bong1 mong4	
帮派	bong1 pai3	
帮手	bong1 seo2	
帮手	bong1 seo2	帮忙
帮会	bong1 wui6	
帮助	bong1 zo6	
绑架	bong2 ga3	
绑架犯	bong2 ga3 fan2	
绑个缬	bong2 go3 lid3	打一个结
绑鞋带	bong2 hai4 dai3	系鞋带
绑缬	bong2 lid3	打结
榜上有名	bong2 sêng6 yeo5 ming4	
榜样	bong2 yêng6	
磅	bong4	给
磅水	bong4 sêu2	给钱，交钱，付钱
傍	bong6	依靠，陪伴，护着，紧靠着，不离开，看守着
傍家	bong6 ga1	恋家，顾家，在家
傍晚	bong6 man5	
磅秤	bong6 qing3	
煲	bou1	煮
煲茶	bou1 ca4	熬药
煲电话粥	bou1 din6 wa2 zug1	打电话聊大天，打马拉松电话，长篇大论，打电话聊天
煲饭	bou1 fan6	煮饭
煲咖啡	bou1 ga3 fé1	煮咖啡
晡礼	bou1 lei5	
煲凉茶	bou1 lêng4 ca4	煮去火汤药，煮清凉茶
煲冇米粥	bou1 mou5 mei5 zug1	说没影儿的事
煲冇米粥，水汪汪	bou1 mou5 mei5 zug1 sêu2 wong1 wong1	三十晚上走夜路，没影儿的事
煲水	bou1 sêu2	烧水
煲水	bou1 sêu2	瞎编，无中生有
煲呔	bou1 tai1	领结
煲汤	bou1 tong1	煮汤
煲仔饭	bou1 zei2 fan6	砂锅饭
煲粥	bou1 zug1	煮粥
簿	bou2	本子
补品	bou2 ben2	
保镖	bou2 biu1	
宝宝	bou2 bou2	
补报	bou2 bou3	
宝贝	bou2 bui3	
宝贝仔	bou2 bui3 zei2	宝贝儿子
宝刹	bou2 cad3	
补充	bou2 cung1	
补充品	bou2 cung1 ben2	
宝特瓶	bou2 deg6 ping4	
宝典	bou2 din2	
补丁	bou2 ding1	
宝刀	bou2 dou1	
宝刀未老	bou2 dou1 méi6 lou5	
宝岛	bou2 dou2	
宝地	bou2 déi6	
补课	bou2 fo3	
宝库	bou2 fu3	
补家用	bou2 ga1 yung2	补贴家里的开支
宝鉴	bou2 gam3	
补救	bou2 geo3	
宝剑	bou2 gim3	
保管	bou2 gun2	
保管费	bou2 gun2 fei3	
保管箱	bou2 gun2 sêng1	
宝贵	bou2 gwei3	
补过	bou2 gwo3	
宝眷	bou2 gün3	
补鞋	bou2 hai4	
补鞋匠	bou2 hai4 zêng6	
补考	bou2 hao2	
保险	bou2 him2	
保险费	bou2 him2 fei3	
保险金	bou2 him2 gem1	
保险公司	bou2 him2 gung1 xi1	
保险箱	bou2 him2 sêng1	
保险丝	bou2 him2 xi1	
补空	bou2 hung1	
补血	bou2 hüd3	
补血药	bou2 hüd3 yêg6	
补血剂	bou2 hüd3 zei1	
保证	bou2 jing3	
补给	bou2 keb1	
补给品	bou2 keb1 ben2	
补给站	bou2 keb1 zam6	
补缺	bou2 küd3	
宝蓝	bou2 lam4	
宝蓝色	bou2 lam4 xig1	
保留	bou2 leo4	
堡垒	bou2 lêu5	
保密	bou2 med6	
宝物	bou2 med6	
保母	bou2 mou2	
保姆	bou2 mou5	
鸨母	bou2 mou5	
褓姆车	bou2 mou5 cé1	校车，娃娃车
补牙	bou2 nga4	
保你大	bou2 néi5 dai6	服了你了
保安	bou2 on1	
补票	bou2 piu3	
保持	bou2 qi4	
保持中立	bou2 qi4 zung1 lab6	
保存	bou2 qun4	
补修	bou2 seo1	
保守	bou2 seo2	
保守党	bou2 seo2 dong2	
保守主义	bou2 seo2 ju2 yi6	
补写	bou2 sé2	
宝石	bou2 ség6	
补偿	bou2 sêng4	
补偿金	bou2 sêng4 gem1	
补水	bou2 sêu2	补助费，加班费，补贴
宝塔	bou2 tab3	
补贴	bou2 tib3	
补胎	bou2 toi1	
补遗	bou2 wei4	
保卫	bou2 wei6	
宝位	bou2 wei6	
补镬	bou2 wog6	补救失误
保护	bou2 wu6	
保护国	bou2 wu6 gwog3	
保护主义	bou2 wu6 ju2 yi6	
保释	bou2 xig1	
补色	bou2 xig1	
保鲜纸	bou2 xin1 ji2	玻璃纸
补选	bou2 xun2	
保佑	bou2 yeo6	
补语	bou2 yu5	
补药	bou2 yêg6	
保养	bou2 yêng5	
补养	bou2 yêng5	
补习	bou2 zab6	
补习班	bou2 zab6 ban1	
簿仔	bou2 zei2	小本子，笔记本
宝座	bou2 zo6	
补助费	bou2 zo6 fei3	
补助金	bou2 zo6 gem1	
补助额	bou2 zo6 ngag6	
宝藏	bou2 zong6	
补足	bou2 zug1	
保重	bou2 zung6	
保障	bou2 zêng3	
补缀	bou2 zêu6	
布帛	bou3 bag6	
报酬	bou3 ceo4	
布甸	bou3 din1	布丁
报导	bou3 dou6	
报道	bou3 dou6	
报警	bou3 ging2	
报告	bou3 gou3	
布告栏	bou3 gou3 lan4	
布褂	bou3 gwa3	
报刊	bou3 hon2	
报纸	bou3 ji2	
报纸佬	bou3 ji2 lou2	卖报的，报贩
布置	bou3 ji3	
布冧	bou3 lem1	洋李子
报名	bou3 ming4	
报仇	bou3 seo4	
报载	bou3 zoi3	
埗	bou6	码头
哺	bou6	孵
步兵	bou6 bing1	
步步	bou6 bou6	
步步高升	bou6 bou6 gou1 xing1	
步步为营	bou6 bou6 wei4 ying4	
暴躁	bou6 cou3	
捕虫	bou6 cung4	
步枪	bou6 cêng1	
暴跌	bou6 did3	
步调	bou6 diu6	
暴动	bou6 dung6	
步队	bou6 dêu6	
暴发	bou6 fad3	
暴发户	bou6 fad3 wu6	
捕快	bou6 fai3	
步伐	bou6 fed6	
部分	bou6 fen6	
暴富	bou6 fu3	
捕风	bou6 fung1	
暴风雪	bou6 fung1 xud3	
暴风雨	bou6 fung1 yu5	
捕风捉影	bou6 fung1 zug1 ying2	
哺鸡仔	bou6 gei1 zei2	孵小鸡
暴君	bou6 gwen1	
暴行	bou6 heng4	
步行	bou6 heng6	
报纸档	bou6 ji2 dong3	报摊
暴政	bou6 jing3	
捕鲸	bou6 king4	
捕鲸船	bou6 king4 xun4	
捕捞	bou6 leo4	
暴力	bou6 lig6	
部落	bou6 log6	
暴露	bou6 lou6	
暴龙	bou6 lung4	
步履	bou6 léi5	
步履维艰	bou6 léi5 wei4 gan1	
暴乱	bou6 lün6	
暴民	bou6 men4	
部门	bou6 mun4	
捕拿	bou6 na4	
暴怒	bou6 nou6	
部署	bou6 qu5	
捕杀	bou6 sad3	
步哨	bou6 sao3	
捕手	bou6 seo2	
暴泻	bou6 sé3	急速下滑
埗头	bou6 teo4	码头，渡口
暴殄天物	bou6 tin5 tin1 med6	
暴跳如雷	bou6 tiu3 yu4 lêu4	
暴徒	bou6 tou4	
步话机	bou6 wa2 géi1	
捕获	bou6 wog6	
捕食	bou6 xig6	
捕鼠器	bou6 xu2 héi3	
暴饮暴食	bou6 yem2 bou6 xig6	
步人后尘	bou6 yen4 heo6 cen4	
捕役	bou6 yig6	
捕蝇纸	bou6 ying4 ji2	
捕鱼	bou6 yu4	
捕鱼船	bou6 yu4 xun4	
暴雨	bou6 yu5	
哺乳	bou6 yu5	
哺乳动物	bou6 yu5 dung6 med6	
暴虐	bou6 yêg6	
步骤	bou6 zeo6	
捕捉	bou6 zug1	
部长	bou6 zêng2	
钵仔糕	bud3 zei2 gou1	用小钵蒸的发面糕
荸荠	bud6 cei4	
渤海	bud6 hoi2	
渤海湾	bud6 hoi2 wan1	
拨号	bud6 hou6	
勃起	bud6 héi2	
勃然	bud6 yin4	
勃然大怒	bud6 yin4 dai6 nou6	
拨冗	bud6 yung2	
book	bug1	预订
卜卦	bug1 gwa3	
book机票	bug1 géi1 piu3	订机票
book唔到位	bug1 m4 dou2 wei2	订不到座儿
卜筮	bug1 sei6	
book位	bug1 wei2	订座儿，预定位置，预定座位
book酒店	bug1 zeo2 dim3	订酒店
伏	bug6	趴，俯伏
瀑布	bug6 bou3	
伏低	bug6 dei1	趴下
曝光	bug6 gwong1	
伏匿匿	bug6 néi1 néi1	捉迷藏
曝晒	bug6 sai3	
仆人	bug6 yen4	
伏儿人	bug6 yi1 yen1	捉迷藏
仆役	bug6 yig6	
杯	bui1	杯子
杯葛	bui1 god3	抵制
杯荐	bui1 jin2	杯垫
背	bui3	背，背部
背叛	bui3 bun6	
辈出	bui3 cêd1	
背景	bui3 ging2	
贝壳	bui3 hog3	
背囊	bui3 nong4	背包
背心	bui3 sem1	
脊椎	bui3 zêg3	脊椎
悖论	bui6 lên6	
搬翻	bun1 fan1	搬回
搬走	bun1 hoi1	
搬屋	bun1 ngug1	搬家
搬迁	bun1 qin1	
搬运	bun1 wen6	
搬入	bun1 yeb6	搬进
本地姜唔辣	bun2 déi6 gêng1 m4 lad6	远来的和尚会念经，墙里开花墙外香
畚箕	bun2 géi1	
本来	bun2 loi4	
本来	bun2 loi4	
本末倒置	bun2 mud6 dou3 ji3	
本能	bun2 neng4	
本银	bun2 ngen2	本金，本钱
本身	bun2 sen1	
本事	bun2 xi6	本领
本息	bun2 xig1	
