開放粵語詞典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［國際音標］	［國語解釋］
化敵為友	fa:˧ tɪk˨ wɐi˨˩ jɐu˩˧	
化為	fa:˧ wɐi˨˩	
化為泡影	fa:˧ wɐi˨˩ pʰou˩˧ jɪŋ˧˥	
化為烏有	fa:˧ wɐi˨˩ wu:˥ jɐu˩˧	
化外	fa:˧ ŋɔ:i˨	
化外之民	fa:˧ ŋɔ:i˨ tsi:˥ mɐn˨˩	
飛	fei˥	票
飛髮	fei˥ fa:t˧	剪頭髮，理髮
飛髮佬	fei˥ fa:t˧ lou˧˥	理髮師
飛髮舖	fei˥ fa:t˧ pʰou˧˥	理髮店
飛起	fei˥ hei˧˥	非常，厲害，要命
飛起	fei˥ hei˧˥	
飛行	fei˥ hɐŋ˨˩	
飛行員	fei˥ hɐŋ˨˩ jy:n˨˩	
飛航	fei˥ hɔ:ŋ˨˩	
緋紅	fei˥ hʊŋ˨˩	
飛紅	fei˥ hʊŋ˨˩	
飛簷	fei˥ ji:m˨˩	
飛簷走壁	fei˥ ji:m˨˩ tsɐu˧˥ pɪk˥	
飛越	fei˥ jy:t˨	
鯡魚	fei˥ jy:˨˩	
飛魚	fei˥ jy:˨˩	
飛躍	fei˥ jœ:k˨	
飛揚	fei˥ jœ:ŋ˨˩	
飛翼	fei˥ jɪk˨	白色有翅母蟻
飛翼船	fei˥ jɪk˨ sy:n˨˩	氣墊船，水上飛行船
非裔	fei˥ jɵy˨	
飛機	fei˥ kei˥	
飛機票	fei˥ kei˥ pʰi:u˧	
飛機師	fei˥ kei˥ si:˥	飛行員
飛機恤	fei˥ kei˥ sɵt˥	夾克，短外套
飛機仔	fei˥ kei˥ tsɐi˧˥	小飛機
飛機場	fei˥ kei˥ tsʰœ:ŋ˨˩	
飛過	fei˥ kwɔ:˧	
飛禽	fei˥ kʰɐm˨˩	
飛禽走獸	fei˥ kʰɐm˨˩ tsɐu˧˥ sɐu˧	
非禮	fei˥ lɐi˩˧	耍流氓，調戲，猥褻
非禮罪	fei˥ lɐi˩˧ tsɵy˨	猥褻侵犯
菲林	fei˥ lɐm˨˩	軟片，膠卷
菲律賓語	fei˥ lɵt˨ pɐn˥ jy:˩˧	
菲律賓人	fei˥ lɵt˨ pɐn˥ jɐn˨˩	
飛尾	fei˥ mei˩˧	票根
飛毛腿	fei˥ mou˨˩ tʰɵy˧˥	
飛舞	fei˥ mou˩˧	
緋聞	fei˥ mɐn˨˩	
飛吻	fei˥ mɐn˩˧	
飛鳥	fei˥ ni:u˩˧	
飛邊	fei˥ pi:n˥	切去麵包皮的三明治
飛鏢	fei˥ pi:u˥	
飛奔	fei˥ pɐn˥	
飛跑	fei˥ pʰa:u˧˥	
妃嬪	fei˥ pʰɐn˨˩	
飛士	fei˥ si:˧˥	面子
非士	fei˥ si:˧˥	面子
飛數	fei˥ sou˨˩	面部美容
飛雪	fei˥ sy:t˧	
飛鼠	fei˥ sy:˧˥	蝙蝠
非常	fei˥ sœ:ŋ˨˩	
非常之	fei˥ sœ:ŋ˨˩ tsi:˥	非常
非常之重要	fei˥ sœ:ŋ˨˩ tsi:˥ tsʊŋ˨ ji:u˧	非常重要
飛逝	fei˥ sɐi˨	
飛石	fei˥ sɛ:k˨	
飛水	fei˥ sɵy˧˥	涮，汆
飛彈	fei˥ ta:n˨	
飛彈潛艇	fei˥ ta:n˨ tsʰi:m˨˩ tʰɪŋ˩˧	
飛彈頭	fei˥ ta:n˨ tʰɐu˨˩	
飛碟	fei˥ ti:p˨	飛盤
飛刀	fei˥ tou˥	
飛仔	fei˥ tsɐi˧˥	阿飛
飛走	fei˥ tsɐu˧˥	
飛咗	fei˥ tsɔ:˧˥	吹了，分手
非正式	fei˥ tsɪŋ˧ sɪk˥	
飛賊	fei˥ tsʰa:k˨	
飛矢	fei˥ tsʰi:˧˥	
飛馳	fei˥ tsʰi:˨˩	
飛翔	fei˥ tsʰœ:ŋ˨˩	
飛塵	fei˥ tsʰɐn˨˩	
飛車	fei˥ tsʰɛ:˥	
飛車黨	fei˥ tsʰɛ:˥ tɔ:ŋ˧˥	
飛出	fei˥ tsʰɵt˥	
飛速	fei˥ tsʰʊk˥	
飛蟲	fei˥ tsʰʊŋ˨˩	
飛騰	fei˥ tʰɐŋ˨˩	
飛艇	fei˥ tʰɪŋ˩˧	
飛黃騰達	fei˥ wɔ:ŋ˨˩ tʰɐŋ˨˩ ta:t˨	
飛雁	fei˥ ŋa:ŋ˨	
飛蟻	fei˥ ŋɐi˩˧	
飛蛾	fei˥ ŋɔ:˨˩	
飛蛾撲火	fei˥ ŋɔ:˨˩ pʰɔ:k˧ fɔ:˧˥	
匪夷所思	fei˧˥ ji:˨˩ sɔ:˧˥ si:˥	
誹謗	fei˧˥ pʰɔ:ŋ˧	
悱惻	fei˧˥ tsʰɐk˥	
翡翠	fei˧˥ tsʰɵy˧	
匪徒	fei˧˥ tʰou˨˩	
肥	fei˨˩	不合格，不及格
肥	fei˨˩	胖
肥肥白白	fei˨˩ fei˨˩ pa:k˨ pa:k˨	白白胖胖
肥厚	fei˨˩ hɐu˩˧	
肥壤	fei˨˩ jœ:ŋ˨	
肥沃	fei˨˩ jʊk˥	
肥肉	fei˨˩ jʊk˨	
腓骨	fei˨˩ kwɐt˥	
肥料	fei˨˩ li:u˨	
肥佬	fei˨˩ lou˧˥	落榜，失敗，不合格，不及格
肥佬	fei˨˩ lou˧˥	胖子
肥妹	fei˨˩ mu:i˥	胖姑娘
肥滿	fei˨˩ mu:n˩˧	
肥胖	fei˨˩ pu:n˨	
肥胖症	fei˨˩ pu:n˨ tsɪŋ˧	
肥婆	fei˨˩ pʰɔ:˨˩	胖女子，胖婦人，胖女人
肥屍大隻	fei˨˩ si:˥ ta:i˨ tsɛ:k˧	肥胖，肥碩，個子大，肥頭大耳，又胖又大
肥瘦	fei˨˩ sɐu˧	胖瘦
肥碩	fei˨˩ sɛ:k˨	
肥水不落外人田	fei˨˩ sɵy˧˥ pɐt˥ lɔ:k˨ ŋɔ:i˨ jɐn˨˩ tʰi:n˨˩	
肥大	fei˨˩ ta:i˨	
肥地	fei˨˩ tei˨	
肥仔	fei˨˩ tsɐi˧˥	小胖子
肥仔米	fei˨˩ tsɐi˧˥ mɐi˩˧	爆米花
肥仔嘜	fei˨˩ tsɐi˧˥ mɐk˥	胖小子，小胖子
肥咗	fei˨˩ tsɔ:˧˥	胖了，胖起來了
肥嘟嘟	fei˨˩ ty:t˥ ty:t˥	胖胖的
肥田	fei˨˩ tʰi:n˨˩	
肥田料	fei˨˩ tʰi:n˨˩ li:u˧˥	化肥，化學肥料
肥土	fei˨˩ tʰou˧˥	
肥肚腩	fei˨˩ tʰou˩˧ na:m˩˧	大肚子，大肚皮
肥揗揗	fei˨˩ tʰɐn˨˩ tʰɐn˨˩	胖乎乎，胖胖的
弗	fi:t˥	標緻
弗到漏油	fi:t˥ tou˧ lɐu˨ jɐu˨˩	非常的標緻
feel	fi:u˥	感覺
灰士	fi:u˥ si:˧˥	保險絲
灰飛煙滅	fu:i˥ fei˥ ji:n˥ mi:t˨	
恢復	fu:i˥ fʊk˨	
詼諧	fu:i˥ ha:i˨˩	
灰狗	fu:i˥ kɐu˧˥	
灰鯨	fu:i˥ kʰɪŋ˨˩	
灰佬	fu:i˥ lou˧˥	奸細
灰濛濛	fu:i˥ mʊŋ˨˩ mʊŋ˨˩	
灰白	fu:i˥ pa:k˨	
灰白色	fu:i˥ pa:k˨ sɪk˥	
灰鼠	fu:i˥ sy:˧˥	
灰心	fu:i˥ sɐm˥	
灰心喪氣	fu:i˥ sɐm˥ sɔ:ŋ˧ hei˧	
魁首	fu:i˥ sɐu˧˥	
灰色	fu:i˥ sɪk˥	
魁星	fu:i˥ sɪŋ˥	
灰水	fu:i˥ sɵy˧˥	石灰水
灰燼	fu:i˥ tsɵn˨	
魁偉	fu:i˥ wɐi˩˧	
魁梧	fu:i˥ ŋ˨˩	
晦氣	fu:i˧ hei˧	
晦氣星	fu:i˧ hei˧ sɪŋ˥	倒霉鬼
悔恨	fu:i˧ hɐn˨	
誨人不倦	fu:i˧ jɐn˨˩ pɐt˥ ky:n˨	
悔悟	fu:i˧ ŋ˨	
鮪魚	fu:i˧˥ jy:˨˩	
歡喜	fu:n˥ hei˧˥	喜歡，愛好，喜愛，高興，快樂
歡慶	fu:n˥ hɪŋ˧	
寬裕	fu:n˥ jy:˨	
歡欣	fu:n˥ jɐn˥	
歡迎	fu:n˥ jɪŋ˨˩	
歡迎光臨	fu:n˥ jɪŋ˨˩ kwɔ:ŋ˥ lɐm˨˩	
寬容	fu:n˥ jʊŋ˨˩	
髖骨	fu:n˥ kwɐt˥	髖骨
寬廣	fu:n˥ kwɔ:ŋ˧˥	
歡樂	fu:n˥ lɔ:k˨	
寬敞	fu:n˥ tsʰɔ:ŋ˧˥	
款項	fu:n˧˥ hɔ:ŋ˨	
款式	fu:n˧˥ sɪk˥	
闊	fu:t˧	寬
闊氣	fu:t˧ hei˧	
闊佬	fu:t˧ lou˧˥	闊氣，闊氣的人，有錢人，財主
闊佬懒理	fu:t˧ lou˧˥ la:n˩˧ lei˩˧	不理不睬，不聞不問，甩手不管
闊落	fu:t˧ lɔ:k˨	寬暢，寬敞
闊綽	fu:t˧ tsʰœ:k˧	
孵化	fu:˥ fa:˧	
呼呼大睡	fu:˥ fu:˥ ta:i˨ sɵy˨	
夫婦	fu:˥ fu:˩˧	
呼風喚雨	fu:˥ fʊŋ˥ wu:n˨ jy:˩˧	
呼喊	fu:˥ ha:m˧	
呼氣	fu:˥ hei˧	
呼口號	fu:˥ hɐu˧˥ hou˨	
敷衍	fu:˥ ji:n˧˥	
敷衍了事	fu:˥ ji:n˧˥ li:u˩˧ si:˨	
枯葉	fu:˥ ji:p˨	
呼籲	fu:˥ jy:˨	
呼應	fu:˥ jɪŋ˧	
呼應聲	fu:˥ jɪŋ˧ sɛ:ŋ˥	
孵育	fu:˥ jʊk˨	
呼叫	fu:˥ ki:u˧	
呼叫器	fu:˥ ki:u˧ hei˧	
枯槁	fu:˥ kou˧˥	
枯骨	fu:˥ kwɐt˥	
呼救	fu:˥ kɐu˧	
呼救信號	fu:˥ kɐu˧ sɵn˧ hou˨	
枯乾	fu:˥ kɔ:n˥	
枯竭	fu:˥ kʰi:t˧	
呼吸	fu:˥ kʰɐp˥	
呼吸器官	fu:˥ kʰɐp˥ hei˧ ku:n˥	
呼吸系統	fu:˥ kʰɐp˥ hɐi˨ tʰʊŋ˧˥	
呼吸困難	fu:˥ kʰɐp˥ kʰwɐn˧ na:n˨˩	
呼吸聲	fu:˥ kʰɐp˥ sɛ:ŋ˥	
呼吸道	fu:˥ kʰɐp˥ tou˨	
枯涸	fu:˥ kʰɔ:k˧	
呼嚕	fu:˥ lou˥	
俘虜	fu:˥ lou˩˧	
骷髏	fu:˥ lɐu˨˩	
孵卵	fu:˥ lɵn˧˥	
枯木	fu:˥ mʊk˨	
枯木逢春	fu:˥ mʊk˨ fʊŋ˨˩ tsʰɵn˥	
麩皮	fu:˥ pʰei˨˩	
呼朋引類	fu:˥ pʰɐŋ˨˩ jɐn˩˧ lɵy˨	
枯死	fu:˥ sei˧˥	
呼嘯	fu:˥ si:u˧	
呼嘯而過	fu:˥ si:u˧ ji:˨˩ kwɔ:˧	
孵小雞	fu:˥ si:u˧˥ kɐi˥	
枯樹	fu:˥ sy:˨	
枯瘦	fu:˥ sɐu˧	
呼聲	fu:˥ sɛ:ŋ˥	
枯水	fu:˥ sɵy˧˥	
枯水期	fu:˥ sɵy˧˥ kʰei˨˩	
枯水位	fu:˥ sɵy˧˥ wɐi˨	
孵蛋	fu:˥ ta:n˨	
枯焦	fu:˥ tsi:u˥	
呼之欲出	fu:˥ tsi:˥ jʊk˨ tsʰɵt˥	
枯井	fu:˥ tsɛ:ŋ˧˥	
枯燥	fu:˥ tsʰou˧	
枯燥無味	fu:˥ tsʰou˧ mou˨˩ mei˨	
枯草	fu:˥ tsʰou˧˥	
呼出	fu:˥ tsʰɵt˥	
孵出	fu:˥ tsʰɵt˥	
呼天搶地	fu:˥ tʰi:n˥ tsʰœ:ŋ˧˥ tei˨	
呼喚	fu:˥ wu:n˨	
枯萎	fu:˥ wɐi˧˥	
俘獲	fu:˥ wɔ:k˨	
枯黃	fu:˥ wɔ:ŋ˨˩	
枯榮	fu:˥ wɪŋ˨˩	
褲	fu:˧	褲子
副校長	fu:˧ ha:u˨ tsœ:ŋ˧˥	
富豪	fu:˧ hou˨˩	
富厚	fu:˧ hɐu˩˧	
副刊	fu:˧ hɔ:n˧˥	
副業	fu:˧ ji:p˨	
富饒	fu:˧ ji:u˨˩	
富而不驕	fu:˧ ji:˨˩ pɐt˥ ki:u˥	
富裕	fu:˧ jy:˨	
富餘	fu:˧ jy:˨˩	
富人	fu:˧ jɐn˨˩	
富有	fu:˧ jɐu˩˧	
副教授	fu:˧ ka:u˧ sɐu˨	
富家	fu:˧ ka:˥	
富家子弟	fu:˧ ka:˥ tsi:˧˥ tɐi˨	
富貴	fu:˧ kwɐi˧	
富貴逼人	fu:˧ kwɐi˧ pɪk˥ jɐn˨˩	
富貴病	fu:˧ kwɐi˧ pɪŋ˨	
富貴在天	fu:˧ kwɐi˧ tsɔ:i˨ tʰi:n˥	
富貴榮華	fu:˧ kwɐi˧ wɪŋ˨˩ wa:˨˩	
富國	fu:˧ kwɔ:k˧	
富國強兵	fu:˧ kwɔ:k˧ kʰœ:ŋ˨˩ pɪŋ˥	
褲腳	fu:˧ kœ:k˧	褲腿
富麗	fu:˧ lɐi˨	
富麗堂皇	fu:˧ lɐi˨ tʰɔ:ŋ˨˩ wɔ:ŋ˨˩	
褲浪	fu:˧ lɔ:ŋ˨	褲襠
富農	fu:˧ nʊŋ˨˩	
富農份子	fu:˧ nʊŋ˨˩ fɐn˨ tsi:˧˥	
富農經濟	fu:˧ nʊŋ˨˩ kɪŋ˥ tsɐi˧	
副班長	fu:˧ pa:n˥ tsœ:ŋ˧˥	
副司令	fu:˧ si:˥ lɪŋ˨	
富商	fu:˧ sœ:ŋ˥	
副審	fu:˧ sɐm˧˥	
副所長	fu:˧ sɔ:˧˥ tsœ:ŋ˧˥	
副社長	fu:˧ sɛ:˩˧ tsœ:ŋ˧˥	
褲带	fu:˧ ta:i˧˥	皮帶，褲帶
副主任	fu:˧ tsy:˧˥ jɐm˨	
副主席	fu:˧ tsy:˧˥ tsɪk˨	
副作用	fu:˧ tsɔ:k˧ jʊŋ˨	
副職	fu:˧ tsɪk˥	
富足	fu:˧ tsʊk˥	
副總經理	fu:˧ tsʊŋ˧˥ kɪŋ˥ lei˩˧	
副總理	fu:˧ tsʊŋ˧˥ lei˩˧	
副總司令	fu:˧ tsʊŋ˧˥ si:˥ lɪŋ˨	
副總裁	fu:˧ tsʊŋ˧˥ tsʰɔ:i˨˩	
副總統	fu:˧ tsʊŋ˧˥ tʰʊŋ˧˥	
副產品	fu:˧ tsʰa:n˧˥ pɐn˧˥	
副詞	fu:˧ tsʰi:˨˩	
副處長	fu:˧ tsʰy:˧ tsœ:ŋ˧˥	
副廠長	fu:˧ tsʰɔ:ŋ˧˥ tsœ:ŋ˧˥	
副董事長	fu:˧ tʊŋ˧˥ si:˨ tsœ:ŋ˧˥	
富太	fu:˧ tʰa:i˧˥	貴婦
副團長	fu:˧ tʰy:n˨˩ tsœ:ŋ˧˥	
褲頭	fu:˧ tʰɐu˨˩	褲腰
褲頭帶	fu:˧ tʰɐu˨˩ ta:i˧˥	褲帶，腰帶
富華	fu:˧ wa:˨˩	
富戶	fu:˧ wu:˨	
虎	fu:˧˥	老虎
俯伏	fu:˧˥ fʊk˨	
俯瞰	fu:˧˥ hɐm˧	
苦口苦面	fu:˧˥ hɐu˧˥ fu:˧˥ mi:n˨	愁眉苦臉，哭喪著臉，耷拉著臉，整天苦著臉
俯看	fu:˧˥ hɔ:n˧	
俯仰	fu:˧˥ jœ:ŋ˩˧	
撫養	fu:˧˥ jœ:ŋ˩˧	
俯仰由人	fu:˧˥ jœ:ŋ˩˧ jɐu˨˩ jɐn˨˩	
俯仰無愧	fu:˧˥ jœ:ŋ˩˧ mou˨˩ kʰwɐi˩˧	
俯仰之間	fu:˧˥ jœ:ŋ˩˧ tsi:˥ ka:n˥	
撫育	fu:˧˥ jʊk˨	
苦瓜	fu:˧˥ kwa:˥	
苦過弟弟	fu:˧˥ kwɔ:˧ ti:˨˩ ti:˧˥	苦不堪言，非常辛苦
撫今追昔	fu:˧˥ kɐm˥ tsɵy˥ sɪk˥	
撫躬自問	fu:˧˥ kʊŋ˥ tsi:˨ mɐn˨	
撫琴	fu:˧˥ kʰɐm˨˩	
俯曲	fu:˧˥ kʰʊk˥	
撫弄	fu:˧˥ lʊŋ˨	
撫摩	fu:˧˥ mɔ:˥	
撫摸	fu:˧˥ mɔ:˧˥	
苦惱	fu:˧˥ nou˩˧	
琥珀	fu:˧˥ pʰa:k˧	
撫平	fu:˧˥ pʰɪŋ˨˩	
撫屍痛哭	fu:˧˥ si:˥ tʰʊŋ˧ hʊk˥	
俯視	fu:˧˥ si:˨	
虎視眈眈	fu:˧˥ si:˨ ta:m˥ ta:m˥	
俯視圖	fu:˧˥ si:˨ tʰou˨˩	
俯身	fu:˧˥ sɐn˥	
俯拾	fu:˧˥ sɐp˨	
俯拾皆是	fu:˧˥ sɐp˨ ka:i˥ si:˨	
俯拾即是	fu:˧˥ sɐp˨ tsɪk˥ si:˨	
俯首	fu:˧˥ sɐu˧˥	
俯首就範	fu:˧˥ sɐu˧˥ tsɐu˨ fa:n˨	
俯首稱臣	fu:˧˥ sɐu˧˥ tsʰɪŋ˥ sɐn˨˩	
撫恤金	fu:˧˥ sɵt˥ kɐm˥	
苦刁刁	fu:˧˥ ti:u˥ ti:u˥	非常苦
拊掌	fu:˧˥ tsœ:ŋ˧˥	
俯就	fu:˧˥ tsɐu˨	
腑臟	fu:˧˥ tsɔ:ŋ˨	
苦衷	fu:˧˥ tsʊŋ˥	
苦楚	fu:˧˥ tsʰɔ:˧˥	
俯衝	fu:˧˥ tsʰʊŋ˥	
俯衝角	fu:˧˥ tsʰʊŋ˥ kɔ:k˧	
俯頭	fu:˧˥ tʰɐu˨˩	
斧頭	fu:˧˥ tʰɐu˨˩	
俯泳	fu:˧˥ wɪŋ˨	
俯臥	fu:˧˥ ŋɔ:˨	
俯臥撐	fu:˧˥ ŋɔ:˨ tsʰa:ŋ˥	
撫愛	fu:˧˥ ɔ:i˧	
付款	fu:˨ fu:n˧˥	
付費	fu:˨ fɐi˧	
負荷	fu:˨ hɔ:˨	
赴宴	fu:˨ ji:n˧	
腐乳	fu:˨ jy:˩˧	
赴任	fu:˨ jɐm˨	
附近	fu:˨ kɐn˨	
付訖	fu:˨ kɐt˥	
腐爛	fu:˨ la:n˨	
附錄	fu:˨ lʊk˨	
駙馬	fu:˨ ma:˩˧	
負面	fu:˨ mi:n˨	
負面影響	fu:˨ mi:n˨ jɪŋ˧˥ hœ:ŋ˧˥	
腐敗	fu:˨ pa:i˨	
腐敗無能	fu:˨ pa:i˨ mou˨˩ nɐŋ˨˩	
輔弼	fu:˨ pɐt˨	
付息	fu:˨ sɪk˥	
腐蝕	fu:˨ sɪk˨	
附屬	fu:˨ sʊk˨	
負擔	fu:˨ ta:m˥	
輔導	fu:˨ tou˨	
負責	fu:˨ tsa:k˧	
負責任	fu:˨ tsa:k˧ jɐm˨	
付之一炬	fu:˨ tsi:˥ jɐt˥ kɵy˨	
輔佐	fu:˨ tsɔ:˧	
輔助	fu:˨ tsɔ:˨	
付錢	fu:˨ tsʰi:n˧˥	
付出	fu:˨ tsʰɵt˥	
赴湯蹈火	fu:˨ tʰɔ:ŋ˥ tou˨ fɔ:˧˥	
赴會	fu:˨ wu:i˨	
負屭	fu:˨ ɐi˧	
符弗	fu:˨˩ fi:t˥	辦法
符號	fu:˨˩ hou˨	
符合	fu:˨˩ hɐp˨	
芙蓉	fu:˨˩ jʊŋ˨˩	
扶老攜幼	fu:˨˩ lou˩˧ kʰwɐi˨˩ jɐu˧	
婦科	fu:˩˧ fɔ:˥	
婦科醫生	fu:˩˧ fɔ:˥ ji:˥ sɐŋ˥	
婦孺	fu:˩˧ jy:˨˩	
婦聯	fu:˩˧ ly:n˨˩	
婦聯會	fu:˩˧ ly:n˩˧ wu:i˨	
婦女	fu:˩˧ nɵy˩˧	
婦女節	fu:˩˧ nɵy˩˧ tsi:t˧	
婦女運動	fu:˩˧ nɵy˩˧ wɐn˨ tʊŋ˨	
婦道	fu:˩˧ tou˨	
婦產科	fu:˩˧ tsʰa:n˧˥ fɔ:˥	
婦德	fu:˩˧ tɐk˥	
揮發	fɐi˥ fa:t˧	
揮霍	fɐi˥ fɔ:k˧	
揮霍無度	fɐi˥ fɔ:k˧ mou˨˩ tou˨	
揮劍	fɐi˥ ki:m˧	
揮金如土	fɐi˥ kɐm˥ jy:˨˩ tʰou˧˥	
揮拳	fɐi˥ kʰy:n˨˩	
揮淚	fɐi˥ lɵy˨	
揮別	fɐi˥ pi:t˨	
揮手	fɐi˥ sɐu˧˥	
揮刀	fɐi˥ tou˥	
揮之不去	fɐi˥ tsi:˥ pɐt˥ hɵy˧	
徽章	fɐi˥ tsœ:ŋ˥	
揮春	fɐi˥ tsʰɵn˥	春聯
輝煌	fɐi˥ wɔ:ŋ˨˩	
肺	fɐi˧	肺臟
廢	fɐi˧	窩囊
廢	fɐi˧	無能，沒用，窩囊，腐朽，窩囊廢
肺腑	fɐi˧ fu:˧˥	
肺腑之言	fɐi˧ fu:˧˥ tsi:˥ ji:n˨˩	
狒狒	fɐi˧ fɐi˧	
廢棄物	fɐi˧ hei˧ mɐt˨	
廢墟	fɐi˧ hɵy˥	
肺炎	fɐi˧ ji:n˨˩	
費用	fɐi˧ jʊŋ˨	
肺結核	fɐi˧ ki:t˧ hɐt˨	
費鬼事睬你	fɐi˧ kwɐi˧˥ si:˨ tsʰɔ:i˧˥ nei˩˧	不理你啦！
費勁	fɐi˧ kɪŋ˨	
肺癆	fɐi˧ lou˨˩	
廢物	fɐi˧ mɐt˨	
肺部	fɐi˧ pou˨	
費事	fɐi˧ si:˨	麻煩
費事	fɐi˧ si:˨	懶得
費事理	fɐi˧ si:˨ lei˩˧	懶得去管，不聞不問
費事話	fɐi˧ si:˨ wa:˨	懶得說
肺臟	fɐi˧ tsɔ:ŋ˨	
肺靜脈	fɐi˧ tsɪŋ˨ mɐk˨	
廢柴	fɐi˧ tsʰa:i˨˩	廢物，沒用的人
肺動脈	fɐi˧ tʊŋ˨ mɐk˨	
廢鐵	fɐi˧ tʰi:t˧	
沸騰	fɐi˧ tʰɐŋ˨˩	
廢話少講	fɐi˧ wa:˧˥ si:u˧˥ kɔ:ŋ˧˥	廢話少說
肺癌	fɐi˧ ŋa:m˨˩	
吠叫	fɐi˨ ki:u˧	
分發	fɐn˥ fa:t˧	
分化	fɐn˥ fa:˧	
吩咐	fɐn˥ fu:˨	
分赴	fɐn˥ fu:˨	
分分鐘	fɐn˥ fɐn˥ tsʊŋ˥	隨時，時時刻刻
芬芳	fɐn˥ fɔ:ŋ˥	
分科	fɐn˥ fɔ:˥	
分封	fɐn˥ fʊŋ˥	
分校	fɐn˥ ha:u˨	
分曉	fɐn˥ hi:u˧˥	
分號	fɐn˥ hou˨	
分毫	fɐn˥ hou˨˩	
分享	fɐn˥ hœ:ŋ˧˥	
婚後	fɐn˥ hɐu˨	
分開	fɐn˥ hɔ:i˥	
分行	fɐn˥ hɔ:ŋ˨˩	
分紅	fɐn˥ hʊŋ˨˩	
婚宴	fɐn˥ ji:n˧	
婚筵	fɐn˥ ji:n˨˩	
分頁	fɐn˥ ji:p˨	
分而治之	fɐn˥ ji:˨˩ tsi:˨ tsi:˥	
婚約	fɐn˥ jœ:k˧	
婚姻	fɐn˥ jɐn˥	
分憂	fɐn˥ jɐu˥	
分憂解勞	fɐn˥ jɐu˥ ka:i˧˥ lou˨˩	
婚友社	fɐn˥ jɐu˩˧ sɛ:˩˧	
分野	fɐn˥ jɛ:˩˧	
分界	fɐn˥ ka:i˧	
分界線	fɐn˥ ka:i˧ si:n˧	
分解	fɐn˥ ka:i˧˥	
分隔	fɐn˥ ka:k˧	
婚假	fɐn˥ ka:˧	
婚嫁	fɐn˥ ka:˧	
分機	fɐn˥ kei˥	
分館	fɐn˥ ku:n˧˥	
分光	fɐn˥ kwɔ:ŋ˥	
婚媾	fɐn˥ kɐu˧	
分割	fɐn˥ kɔ:t˧	
分居	fɐn˥ kɵy˥	
分句	fɐn˥ kɵy˧	
分局	fɐn˥ kʊk˨	
分工	fɐn˥ kʊŋ˥	
分工合作	fɐn˥ kʊŋ˥ hɐp˨ tsɔ:k˧	
分岐	fɐn˥ kʰei˨˩	
分歧	fɐn˥ kʰei˨˩	
分期	fɐn˥ kʰei˨˩	
分期付款	fɐn˥ kʰei˨˩ fu:˨ fu:n˧˥	
昏聵	fɐn˥ kʰu:i˧˥	
分權	fɐn˥ kʰy:n˨˩	
分級	fɐn˥ kʰɐp˥	
分級淬火	fɐn˥ kʰɐp˥ tsʰɵy˧ fɔ:˧˥	
分區	fɐn˥ kʰɵy˥	
分立	fɐn˥ la:p˨	
分利	fɐn˥ lei˨	
分離	fɐn˥ lei˨˩	
分裂	fɐn˥ li:t˨	
分列	fɐn˥ li:t˨	
分裂法	fɐn˥ li:t˨ fa:t˧	
分裂性	fɐn˥ li:t˨ sɪŋ˧	
分裂主義	fɐn˥ li:t˨ tsy:˧˥ ji:˨	
分路	fɐn˥ lou˨	
婚禮	fɐn˥ lɐi˩˧	
分餾	fɐn˥ lɐu˨	
分餾法	fɐn˥ lɐu˨ fa:t˧	
分餾器	fɐn˥ lɐu˨ hei˧	
分餾塔	fɐn˥ lɐu˨ tʰa:p˧	
分流	fɐn˥ lɐu˨˩	
婚齡	fɐn˥ lɪŋ˨˩	
分類廣告	fɐn˥ lɵy˨ kwɔ:ŋ˧˥ kou˧	
分娩	fɐn˥ mi:n˩˧	
分母	fɐn˥ mou˩˧	
分門別類	fɐn˥ mu:n˨˩ pi:t˨ lɵy˨	
分文	fɐn˥ mɐn˨˩	
分文不值	fɐn˥ mɐn˨˩ pɐt˥ tsɪk˨	
分文不取	fɐn˥ mɐn˨˩ pɐt˥ tsʰɵy˧˥	
分泌	fɐn˥ pei˧	
分泌物	fɐn˥ pei˧ mɐt˨	
分泌腺	fɐn˥ pei˧ si:n˧	
婚變	fɐn˥ pi:n˧	
分辨	fɐn˥ pi:n˨	
分辨善惡	fɐn˥ pi:n˨ si:n˨ ɔ:k˧	
分辨是非	fɐn˥ pi:n˨ si:˨ fei˥	
分辨真假	fɐn˥ pi:n˨ tsɐn˥ ka:˧˥	
分別	fɐn˥ pi:t˨	
分别	fɐn˥ pi:t˨	
分佈	fɐn˥ pou˧	
分佈區	fɐn˥ pou˧ kʰɵy˥	
分佈圖	fɐn˥ pou˧ tʰou˨˩	
分部	fɐn˥ pou˨	
分崩離兮	fɐn˥ pɐŋ˥ lei˨˩ hɐi˨˩	
分崩離析	fɐn˥ pɐŋ˥ lei˨˩ sɪk˥	
分派	fɐn˥ pʰa:i˧	
分配	fɐn˥ pʰu:i˧	
分配器	fɐn˥ pʰu:i˧ hei˧	
分配率	fɐn˥ pʰu:i˧ lɵt˨	
分配律	fɐn˥ pʰu:i˧ lɵt˨	
分批	fɐn˥ pʰɐi˥	
分散	fɐn˥ sa:n˧	
婚紗	fɐn˥ sa:˥	
