开放粤语词典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［国际音标］	［国语解释］
化外之民	fa:˧ ŋɔ:i˨ tsi:˥ mɐn˨˩	
飞	fei˥	票
飞发	fei˥ fa:t˧	剪头发，理发
飞发佬	fei˥ fa:t˧ lou˧˥	理发师
飞发铺	fei˥ fa:t˧ pʰou˧˥	理发店
飞起	fei˥ hei˧˥	非常，厉害，要命
飞起	fei˥ hei˧˥	
飞行	fei˥ hɐŋ˨˩	
飞行员	fei˥ hɐŋ˨˩ jy:n˨˩	
飞航	fei˥ hɔ:ŋ˨˩	
绯红	fei˥ hʊŋ˨˩	
飞红	fei˥ hʊŋ˨˩	
飞檐	fei˥ ji:m˨˩	
飞檐走壁	fei˥ ji:m˨˩ tsɐu˧˥ pɪk˥	
飞越	fei˥ jy:t˨	
鲱鱼	fei˥ jy:˨˩	
飞鱼	fei˥ jy:˨˩	
飞跃	fei˥ jœ:k˨	
飞扬	fei˥ jœ:ŋ˨˩	
飞翼	fei˥ jɪk˨	白色有翅母蚁
飞翼船	fei˥ jɪk˨ sy:n˨˩	气垫船，水上飞行船
非裔	fei˥ jɵy˨	
飞机	fei˥ kei˥	
飞机票	fei˥ kei˥ pʰi:u˧	
飞机师	fei˥ kei˥ si:˥	飞行员
飞机恤	fei˥ kei˥ sɵt˥	夹克，短外套
飞机仔	fei˥ kei˥ tsɐi˧˥	小飞机
飞机场	fei˥ kei˥ tsʰœ:ŋ˨˩	
飞过	fei˥ kwɔ:˧	
飞禽	fei˥ kʰɐm˨˩	
飞禽走兽	fei˥ kʰɐm˨˩ tsɐu˧˥ sɐu˧	
非礼	fei˥ lɐi˩˧	耍流氓，调戏，猥亵
非礼罪	fei˥ lɐi˩˧ tsɵy˨	猥亵侵犯
菲林	fei˥ lɐm˨˩	软片，胶卷
菲律宾语	fei˥ lɵt˨ pɐn˥ jy:˩˧	
菲律宾人	fei˥ lɵt˨ pɐn˥ jɐn˨˩	
飞尾	fei˥ mei˩˧	票根
飞毛腿	fei˥ mou˨˩ tʰɵy˧˥	
飞舞	fei˥ mou˩˧	
绯闻	fei˥ mɐn˨˩	
飞吻	fei˥ mɐn˩˧	
飞鸟	fei˥ ni:u˩˧	
飞边	fei˥ pi:n˥	切去面包皮的三明治
飞镖	fei˥ pi:u˥	
飞奔	fei˥ pɐn˥	
飞跑	fei˥ pʰa:u˧˥	
妃嫔	fei˥ pʰɐn˨˩	
飞士	fei˥ si:˧˥	面子
非士	fei˥ si:˧˥	面子
飞数	fei˥ sou˨˩	面部美容
飞雪	fei˥ sy:t˧	
飞鼠	fei˥ sy:˧˥	蝙蝠
非常	fei˥ sœ:ŋ˨˩	
非常之	fei˥ sœ:ŋ˨˩ tsi:˥	非常
非常之重要	fei˥ sœ:ŋ˨˩ tsi:˥ tsʊŋ˨ ji:u˧	非常重要
飞逝	fei˥ sɐi˨	
飞石	fei˥ sɛ:k˨	
飞水	fei˥ sɵy˧˥	涮，汆
飞弹	fei˥ ta:n˨	
飞弹潜艇	fei˥ ta:n˨ tsʰi:m˨˩ tʰɪŋ˩˧	
飞弹头	fei˥ ta:n˨ tʰɐu˨˩	
飞碟	fei˥ ti:p˨	飞盘
飞刀	fei˥ tou˥	
飞仔	fei˥ tsɐi˧˥	阿飞
飞走	fei˥ tsɐu˧˥	
飞咗	fei˥ tsɔ:˧˥	吹了，分手
非正式	fei˥ tsɪŋ˧ sɪk˥	
飞贼	fei˥ tsʰa:k˨	
飞矢	fei˥ tsʰi:˧˥	
飞驰	fei˥ tsʰi:˨˩	
飞翔	fei˥ tsʰœ:ŋ˨˩	
飞尘	fei˥ tsʰɐn˨˩	
飞车	fei˥ tsʰɛ:˥	
飞车党	fei˥ tsʰɛ:˥ tɔ:ŋ˧˥	
飞出	fei˥ tsʰɵt˥	
飞速	fei˥ tsʰʊk˥	
飞虫	fei˥ tsʰʊŋ˨˩	
飞腾	fei˥ tʰɐŋ˨˩	
飞艇	fei˥ tʰɪŋ˩˧	
飞黄腾达	fei˥ wɔ:ŋ˨˩ tʰɐŋ˨˩ ta:t˨	
飞雁	fei˥ ŋa:ŋ˨	
飞蚁	fei˥ ŋɐi˩˧	
飞蛾	fei˥ ŋɔ:˨˩	
飞蛾扑火	fei˥ ŋɔ:˨˩ pʰɔ:k˧ fɔ:˧˥	
匪夷所思	fei˧˥ ji:˨˩ sɔ:˧˥ si:˥	
诽谤	fei˧˥ pʰɔ:ŋ˧	
悱恻	fei˧˥ tsʰɐk˥	
翡翠	fei˧˥ tsʰɵy˧	
匪徒	fei˧˥ tʰou˨˩	
肥	fei˨˩	不合格，不及格
肥	fei˨˩	胖
肥肥白白	fei˨˩ fei˨˩ pa:k˨ pa:k˨	白白胖胖
肥厚	fei˨˩ hɐu˩˧	
肥壤	fei˨˩ jœ:ŋ˨	
肥沃	fei˨˩ jʊk˥	
肥肉	fei˨˩ jʊk˨	
腓骨	fei˨˩ kwɐt˥	
肥料	fei˨˩ li:u˨	
肥佬	fei˨˩ lou˧˥	落榜，失败，不合格，不及格
肥佬	fei˨˩ lou˧˥	胖子
肥妹	fei˨˩ mu:i˥	胖姑娘
肥满	fei˨˩ mu:n˩˧	
肥胖	fei˨˩ pu:n˨	
肥胖症	fei˨˩ pu:n˨ tsɪŋ˧	
肥婆	fei˨˩ pʰɔ:˨˩	胖女子，胖妇人，胖女人
肥尸大只	fei˨˩ si:˥ ta:i˨ tsɛ:k˧	肥胖，肥硕，个子大，肥头大耳，又胖又大
肥瘦	fei˨˩ sɐu˧	胖瘦
肥硕	fei˨˩ sɛ:k˨	
肥水不落外人田	fei˨˩ sɵy˧˥ pɐt˥ lɔ:k˨ ŋɔ:i˨ jɐn˨˩ tʰi:n˨˩	
肥大	fei˨˩ ta:i˨	
肥地	fei˨˩ tei˨	
肥仔	fei˨˩ tsɐi˧˥	小胖子
肥仔米	fei˨˩ tsɐi˧˥ mɐi˩˧	爆米花
肥仔唛	fei˨˩ tsɐi˧˥ mɐk˥	胖小子，小胖子
肥咗	fei˨˩ tsɔ:˧˥	胖了，胖起来了
肥嘟嘟	fei˨˩ ty:t˥ ty:t˥	胖胖的
肥田	fei˨˩ tʰi:n˨˩	
肥田料	fei˨˩ tʰi:n˨˩ li:u˧˥	化肥，化学肥料
肥土	fei˨˩ tʰou˧˥	
肥肚腩	fei˨˩ tʰou˩˧ na:m˩˧	大肚子，大肚皮
肥揗揗	fei˨˩ tʰɐn˨˩ tʰɐn˨˩	胖乎乎，胖胖的
弗	fi:t˥	标致
弗到漏油	fi:t˥ tou˧ lɐu˨ jɐu˨˩	非常的标致
feel	fi:u˥	感觉
灰士	fi:u˥ si:˧˥	保险丝
灰飞烟灭	fu:i˥ fei˥ ji:n˥ mi:t˨	
恢复	fu:i˥ fʊk˨	
诙谐	fu:i˥ ha:i˨˩	
灰狗	fu:i˥ kɐu˧˥	
灰鲸	fu:i˥ kʰɪŋ˨˩	
灰佬	fu:i˥ lou˧˥	奸细
灰蒙蒙	fu:i˥ mʊŋ˨˩ mʊŋ˨˩	
灰白	fu:i˥ pa:k˨	
灰白色	fu:i˥ pa:k˨ sɪk˥	
灰鼠	fu:i˥ sy:˧˥	
灰心	fu:i˥ sɐm˥	
灰心丧气	fu:i˥ sɐm˥ sɔ:ŋ˧ hei˧	
魁首	fu:i˥ sɐu˧˥	
灰色	fu:i˥ sɪk˥	
魁星	fu:i˥ sɪŋ˥	
灰水	fu:i˥ sɵy˧˥	石灰水
灰烬	fu:i˥ tsɵn˨	
魁伟	fu:i˥ wɐi˩˧	
魁梧	fu:i˥ ŋ˨˩	
晦气	fu:i˧ hei˧	
晦气星	fu:i˧ hei˧ sɪŋ˥	倒霉鬼
悔恨	fu:i˧ hɐn˨	
诲人不倦	fu:i˧ jɐn˨˩ pɐt˥ ky:n˨	
悔悟	fu:i˧ ŋ˨	
鲔鱼	fu:i˧˥ jy:˨˩	
欢喜	fu:n˥ hei˧˥	喜欢，爱好，喜爱，高兴，快乐
欢庆	fu:n˥ hɪŋ˧	
宽裕	fu:n˥ jy:˨	
欢欣	fu:n˥ jɐn˥	
欢迎	fu:n˥ jɪŋ˨˩	
欢迎光临	fu:n˥ jɪŋ˨˩ kwɔ:ŋ˥ lɐm˨˩	
宽容	fu:n˥ jʊŋ˨˩	
髋骨	fu:n˥ kwɐt˥	髋骨
宽广	fu:n˥ kwɔ:ŋ˧˥	
欢乐	fu:n˥ lɔ:k˨	
宽敞	fu:n˥ tsʰɔ:ŋ˧˥	
款项	fu:n˧˥ hɔ:ŋ˨	
款式	fu:n˧˥ sɪk˥	
阔	fu:t˧	宽
阔气	fu:t˧ hei˧	
阔佬	fu:t˧ lou˧˥	阔气，阔气的人，有钱人，财主
阔佬懒理	fu:t˧ lou˧˥ la:n˩˧ lei˩˧	不理不睬，不闻不问，甩手不管
阔落	fu:t˧ lɔ:k˨	宽畅，宽敞
阔绰	fu:t˧ tsʰœ:k˧	
孵化	fu:˥ fa:˧	
呼呼大睡	fu:˥ fu:˥ ta:i˨ sɵy˨	
夫妇	fu:˥ fu:˩˧	
呼风唤雨	fu:˥ fʊŋ˥ wu:n˨ jy:˩˧	
呼喊	fu:˥ ha:m˧	
呼气	fu:˥ hei˧	
呼口号	fu:˥ hɐu˧˥ hou˨	
敷衍	fu:˥ ji:n˧˥	
敷衍了事	fu:˥ ji:n˧˥ li:u˩˧ si:˨	
枯叶	fu:˥ ji:p˨	
呼籲	fu:˥ jy:˨	
呼应	fu:˥ jɪŋ˧	
呼应声	fu:˥ jɪŋ˧ sɛ:ŋ˥	
孵育	fu:˥ jʊk˨	
呼叫	fu:˥ ki:u˧	
呼叫器	fu:˥ ki:u˧ hei˧	
枯槁	fu:˥ kou˧˥	
枯骨	fu:˥ kwɐt˥	
呼救	fu:˥ kɐu˧	
呼救信号	fu:˥ kɐu˧ sɵn˧ hou˨	
枯干	fu:˥ kɔ:n˥	
枯竭	fu:˥ kʰi:t˧	
呼吸	fu:˥ kʰɐp˥	
呼吸器官	fu:˥ kʰɐp˥ hei˧ ku:n˥	
呼吸系统	fu:˥ kʰɐp˥ hɐi˨ tʰʊŋ˧˥	
呼吸困难	fu:˥ kʰɐp˥ kʰwɐn˧ na:n˨˩	
呼吸声	fu:˥ kʰɐp˥ sɛ:ŋ˥	
呼吸道	fu:˥ kʰɐp˥ tou˨	
枯涸	fu:˥ kʰɔ:k˧	
呼噜	fu:˥ lou˥	
俘虏	fu:˥ lou˩˧	
骷髅	fu:˥ lɐu˨˩	
孵卵	fu:˥ lɵn˧˥	
枯木	fu:˥ mʊk˨	
枯木逢春	fu:˥ mʊk˨ fʊŋ˨˩ tsʰɵn˥	
麸皮	fu:˥ pʰei˨˩	
呼朋引类	fu:˥ pʰɐŋ˨˩ jɐn˩˧ lɵy˨	
枯死	fu:˥ sei˧˥	
呼啸	fu:˥ si:u˧	
呼啸而过	fu:˥ si:u˧ ji:˨˩ kwɔ:˧	
孵小鸡	fu:˥ si:u˧˥ kɐi˥	
枯树	fu:˥ sy:˨	
枯瘦	fu:˥ sɐu˧	
呼声	fu:˥ sɛ:ŋ˥	
枯水	fu:˥ sɵy˧˥	
枯水期	fu:˥ sɵy˧˥ kʰei˨˩	
枯水位	fu:˥ sɵy˧˥ wɐi˨	
孵蛋	fu:˥ ta:n˨	
枯焦	fu:˥ tsi:u˥	
呼之欲出	fu:˥ tsi:˥ jʊk˨ tsʰɵt˥	
枯井	fu:˥ tsɛ:ŋ˧˥	
枯燥	fu:˥ tsʰou˧	
枯燥无味	fu:˥ tsʰou˧ mou˨˩ mei˨	
枯草	fu:˥ tsʰou˧˥	
呼出	fu:˥ tsʰɵt˥	
孵出	fu:˥ tsʰɵt˥	
呼天抢地	fu:˥ tʰi:n˥ tsʰœ:ŋ˧˥ tei˨	
呼唤	fu:˥ wu:n˨	
枯萎	fu:˥ wɐi˧˥	
俘获	fu:˥ wɔ:k˨	
枯黄	fu:˥ wɔ:ŋ˨˩	
枯荣	fu:˥ wɪŋ˨˩	
裤	fu:˧	裤子
副校长	fu:˧ ha:u˨ tsœ:ŋ˧˥	
富豪	fu:˧ hou˨˩	
富厚	fu:˧ hɐu˩˧	
副刊	fu:˧ hɔ:n˧˥	
副业	fu:˧ ji:p˨	
富饶	fu:˧ ji:u˨˩	
富而不骄	fu:˧ ji:˨˩ pɐt˥ ki:u˥	
富裕	fu:˧ jy:˨	
富余	fu:˧ jy:˨˩	
富人	fu:˧ jɐn˨˩	
富有	fu:˧ jɐu˩˧	
副教授	fu:˧ ka:u˧ sɐu˨	
富家	fu:˧ ka:˥	
富家子弟	fu:˧ ka:˥ tsi:˧˥ tɐi˨	
富贵	fu:˧ kwɐi˧	
富贵逼人	fu:˧ kwɐi˧ pɪk˥ jɐn˨˩	
富贵病	fu:˧ kwɐi˧ pɪŋ˨	
富贵在天	fu:˧ kwɐi˧ tsɔ:i˨ tʰi:n˥	
富贵荣华	fu:˧ kwɐi˧ wɪŋ˨˩ wa:˨˩	
富国	fu:˧ kwɔ:k˧	
富国强兵	fu:˧ kwɔ:k˧ kʰœ:ŋ˨˩ pɪŋ˥	
裤脚	fu:˧ kœ:k˧	裤腿
富丽	fu:˧ lɐi˨	
富丽堂皇	fu:˧ lɐi˨ tʰɔ:ŋ˨˩ wɔ:ŋ˨˩	
裤浪	fu:˧ lɔ:ŋ˨	裤裆
富农	fu:˧ nʊŋ˨˩	
富农分子	fu:˧ nʊŋ˨˩ fɐn˨ tsi:˧˥	
富农经济	fu:˧ nʊŋ˨˩ kɪŋ˥ tsɐi˧	
副班长	fu:˧ pa:n˥ tsœ:ŋ˧˥	
副司令	fu:˧ si:˥ lɪŋ˨	
富商	fu:˧ sœ:ŋ˥	
副审	fu:˧ sɐm˧˥	
副所长	fu:˧ sɔ:˧˥ tsœ:ŋ˧˥	
副社长	fu:˧ sɛ:˩˧ tsœ:ŋ˧˥	
裤带	fu:˧ ta:i˧˥	皮带，裤带
副主任	fu:˧ tsy:˧˥ jɐm˨	
副主席	fu:˧ tsy:˧˥ tsɪk˨	
副作用	fu:˧ tsɔ:k˧ jʊŋ˨	
副职	fu:˧ tsɪk˥	
富足	fu:˧ tsʊk˥	
副总经理	fu:˧ tsʊŋ˧˥ kɪŋ˥ lei˩˧	
副总理	fu:˧ tsʊŋ˧˥ lei˩˧	
副总司令	fu:˧ tsʊŋ˧˥ si:˥ lɪŋ˨	
副总裁	fu:˧ tsʊŋ˧˥ tsʰɔ:i˨˩	
副总统	fu:˧ tsʊŋ˧˥ tʰʊŋ˧˥	
副产品	fu:˧ tsʰa:n˧˥ pɐn˧˥	
副词	fu:˧ tsʰi:˨˩	
副处长	fu:˧ tsʰy:˧ tsœ:ŋ˧˥	
副厂长	fu:˧ tsʰɔ:ŋ˧˥ tsœ:ŋ˧˥	
副董事长	fu:˧ tʊŋ˧˥ si:˨ tsœ:ŋ˧˥	
富太	fu:˧ tʰa:i˧˥	贵妇
副团长	fu:˧ tʰy:n˨˩ tsœ:ŋ˧˥	
裤头	fu:˧ tʰɐu˨˩	裤腰
裤头带	fu:˧ tʰɐu˨˩ ta:i˧˥	裤带，腰带
富华	fu:˧ wa:˨˩	
富户	fu:˧ wu:˨	
虎	fu:˧˥	老虎
俯伏	fu:˧˥ fʊk˨	
俯瞰	fu:˧˥ hɐm˧	
苦口苦面	fu:˧˥ hɐu˧˥ fu:˧˥ mi:n˨	愁眉苦脸，哭丧着脸，耷拉着脸，整天苦着脸
俯看	fu:˧˥ hɔ:n˧	
俯仰	fu:˧˥ jœ:ŋ˩˧	
抚养	fu:˧˥ jœ:ŋ˩˧	
俯仰由人	fu:˧˥ jœ:ŋ˩˧ jɐu˨˩ jɐn˨˩	
俯仰无愧	fu:˧˥ jœ:ŋ˩˧ mou˨˩ kʰwɐi˩˧	
俯仰之间	fu:˧˥ jœ:ŋ˩˧ tsi:˥ ka:n˥	
抚育	fu:˧˥ jʊk˨	
苦瓜	fu:˧˥ kwa:˥	
苦过弟弟	fu:˧˥ kwɔ:˧ ti:˨˩ ti:˧˥	苦不堪言，非常辛苦
抚今追昔	fu:˧˥ kɐm˥ tsɵy˥ sɪk˥	
抚躬自问	fu:˧˥ kʊŋ˥ tsi:˨ mɐn˨	
抚琴	fu:˧˥ kʰɐm˨˩	
俯曲	fu:˧˥ kʰʊk˥	
抚弄	fu:˧˥ lʊŋ˨	
抚摩	fu:˧˥ mɔ:˥	
抚摸	fu:˧˥ mɔ:˧˥	
苦恼	fu:˧˥ nou˩˧	
琥珀	fu:˧˥ pʰa:k˧	
抚平	fu:˧˥ pʰɪŋ˨˩	
抚尸痛哭	fu:˧˥ si:˥ tʰʊŋ˧ hʊk˥	
俯视	fu:˧˥ si:˨	
虎视眈眈	fu:˧˥ si:˨ ta:m˥ ta:m˥	
俯视图	fu:˧˥ si:˨ tʰou˨˩	
俯身	fu:˧˥ sɐn˥	
俯拾	fu:˧˥ sɐp˨	
俯拾皆是	fu:˧˥ sɐp˨ ka:i˥ si:˨	
俯拾即是	fu:˧˥ sɐp˨ tsɪk˥ si:˨	
俯首	fu:˧˥ sɐu˧˥	
俯首就范	fu:˧˥ sɐu˧˥ tsɐu˨ fa:n˨	
俯首称臣	fu:˧˥ sɐu˧˥ tsʰɪŋ˥ sɐn˨˩	
抚恤金	fu:˧˥ sɵt˥ kɐm˥	
苦刁刁	fu:˧˥ ti:u˥ ti:u˥	非常苦
拊掌	fu:˧˥ tsœ:ŋ˧˥	
俯就	fu:˧˥ tsɐu˨	
腑脏	fu:˧˥ tsɔ:ŋ˨	
苦衷	fu:˧˥ tsʊŋ˥	
苦楚	fu:˧˥ tsʰɔ:˧˥	
俯冲	fu:˧˥ tsʰʊŋ˥	
俯冲角	fu:˧˥ tsʰʊŋ˥ kɔ:k˧	
俯头	fu:˧˥ tʰɐu˨˩	
斧头	fu:˧˥ tʰɐu˨˩	
俯泳	fu:˧˥ wɪŋ˨	
俯卧	fu:˧˥ ŋɔ:˨	
俯卧撑	fu:˧˥ ŋɔ:˨ tsʰa:ŋ˥	
抚爱	fu:˧˥ ɔ:i˧	
付款	fu:˨ fu:n˧˥	
付费	fu:˨ fɐi˧	
负荷	fu:˨ hɔ:˨	
赴宴	fu:˨ ji:n˧	
腐乳	fu:˨ jy:˩˧	
赴任	fu:˨ jɐm˨	
附近	fu:˨ kɐn˨	
付讫	fu:˨ kɐt˥	
腐烂	fu:˨ la:n˨	
附录	fu:˨ lʊk˨	
驸马	fu:˨ ma:˩˧	
负面	fu:˨ mi:n˨	
负面影响	fu:˨ mi:n˨ jɪŋ˧˥ hœ:ŋ˧˥	
腐败	fu:˨ pa:i˨	
腐败无能	fu:˨ pa:i˨ mou˨˩ nɐŋ˨˩	
辅弼	fu:˨ pɐt˨	
付息	fu:˨ sɪk˥	
腐蚀	fu:˨ sɪk˨	
附属	fu:˨ sʊk˨	
负担	fu:˨ ta:m˥	
辅导	fu:˨ tou˨	
负责	fu:˨ tsa:k˧	
负责任	fu:˨ tsa:k˧ jɐm˨	
付之一炬	fu:˨ tsi:˥ jɐt˥ kɵy˨	
辅佐	fu:˨ tsɔ:˧	
辅助	fu:˨ tsɔ:˨	
付钱	fu:˨ tsʰi:n˧˥	
付出	fu:˨ tsʰɵt˥	
赴汤蹈火	fu:˨ tʰɔ:ŋ˥ tou˨ fɔ:˧˥	
赴会	fu:˨ wu:i˨	
负屃	fu:˨ ɐi˧	
符弗	fu:˨˩ fi:t˥	办法
符号	fu:˨˩ hou˨	
符合	fu:˨˩ hɐp˨	
芙蓉	fu:˨˩ jʊŋ˨˩	
扶老携幼	fu:˨˩ lou˩˧ kʰwɐi˨˩ jɐu˧	
妇科	fu:˩˧ fɔ:˥	
妇科医生	fu:˩˧ fɔ:˥ ji:˥ sɐŋ˥	
妇孺	fu:˩˧ jy:˨˩	
妇联	fu:˩˧ ly:n˨˩	
妇联会	fu:˩˧ ly:n˩˧ wu:i˨	
妇女	fu:˩˧ nɵy˩˧	
妇女节	fu:˩˧ nɵy˩˧ tsi:t˧	
妇女运动	fu:˩˧ nɵy˩˧ wɐn˨ tʊŋ˨	
妇道	fu:˩˧ tou˨	
妇产科	fu:˩˧ tsʰa:n˧˥ fɔ:˥	
妇德	fu:˩˧ tɐk˥	
挥发	fɐi˥ fa:t˧	
挥霍	fɐi˥ fɔ:k˧	
挥霍无度	fɐi˥ fɔ:k˧ mou˨˩ tou˨	
挥剑	fɐi˥ ki:m˧	
挥金如土	fɐi˥ kɐm˥ jy:˨˩ tʰou˧˥	
挥拳	fɐi˥ kʰy:n˨˩	
挥泪	fɐi˥ lɵy˨	
挥别	fɐi˥ pi:t˨	
挥手	fɐi˥ sɐu˧˥	
挥刀	fɐi˥ tou˥	
挥之不去	fɐi˥ tsi:˥ pɐt˥ hɵy˧	
徽章	fɐi˥ tsœ:ŋ˥	
挥春	fɐi˥ tsʰɵn˥	春联
辉煌	fɐi˥ wɔ:ŋ˨˩	
肺	fɐi˧	肺脏
废	fɐi˧	窝囊
废	fɐi˧	无能，没用，窝囊，腐朽，窝囊废
肺腑	fɐi˧ fu:˧˥	
肺腑之言	fɐi˧ fu:˧˥ tsi:˥ ji:n˨˩	
狒狒	fɐi˧ fɐi˧	
废弃物	fɐi˧ hei˧ mɐt˨	
废墟	fɐi˧ hɵy˥	
肺炎	fɐi˧ ji:n˨˩	
费用	fɐi˧ jʊŋ˨	
肺结核	fɐi˧ ki:t˧ hɐt˨	
费鬼事睬你	fɐi˧ kwɐi˧˥ si:˨ tsʰɔ:i˧˥ nei˩˧	不理你啦！
费劲	fɐi˧ kɪŋ˨	
肺痨	fɐi˧ lou˨˩	
废物	fɐi˧ mɐt˨	
肺部	fɐi˧ pou˨	
费事	fɐi˧ si:˨	麻烦
费事	fɐi˧ si:˨	懒得
费事理	fɐi˧ si:˨ lei˩˧	懒得去管，不闻不问
费事话	fɐi˧ si:˨ wa:˨	懒得说
肺脏	fɐi˧ tsɔ:ŋ˨	
肺静脉	fɐi˧ tsɪŋ˨ mɐk˨	
废柴	fɐi˧ tsʰa:i˨˩	废物，没用的人
肺动脉	fɐi˧ tʊŋ˨ mɐk˨	
废铁	fɐi˧ tʰi:t˧	
沸腾	fɐi˧ tʰɐŋ˨˩	
废话少讲	fɐi˧ wa:˧˥ si:u˧˥ kɔ:ŋ˧˥	废话少说
肺癌	fɐi˧ ŋa:m˨˩	
吠叫	fɐi˨ ki:u˧	
分发	fɐn˥ fa:t˧	
分化	fɐn˥ fa:˧	
吩咐	fɐn˥ fu:˨	
分赴	fɐn˥ fu:˨	
分分钟	fɐn˥ fɐn˥ tsʊŋ˥	随时，时时刻刻
芬芳	fɐn˥ fɔ:ŋ˥	
分科	fɐn˥ fɔ:˥	
分封	fɐn˥ fʊŋ˥	
分校	fɐn˥ ha:u˨	
分晓	fɐn˥ hi:u˧˥	
分号	fɐn˥ hou˨	
分毫	fɐn˥ hou˨˩	
分享	fɐn˥ hœ:ŋ˧˥	
婚后	fɐn˥ hɐu˨	
分开	fɐn˥ hɔ:i˥	
分行	fɐn˥ hɔ:ŋ˨˩	
分红	fɐn˥ hʊŋ˨˩	
婚宴	fɐn˥ ji:n˧	
婚筵	fɐn˥ ji:n˨˩	
分页	fɐn˥ ji:p˨	
分而治之	fɐn˥ ji:˨˩ tsi:˨ tsi:˥	
婚约	fɐn˥ jœ:k˧	
婚姻	fɐn˥ jɐn˥	
分忧	fɐn˥ jɐu˥	
分忧解劳	fɐn˥ jɐu˥ ka:i˧˥ lou˨˩	
婚友社	fɐn˥ jɐu˩˧ sɛ:˩˧	
分野	fɐn˥ jɛ:˩˧	
分界	fɐn˥ ka:i˧	
分界线	fɐn˥ ka:i˧ si:n˧	
分解	fɐn˥ ka:i˧˥	
分隔	fɐn˥ ka:k˧	
婚假	fɐn˥ ka:˧	
婚嫁	fɐn˥ ka:˧	
分机	fɐn˥ kei˥	
分馆	fɐn˥ ku:n˧˥	
分光	fɐn˥ kwɔ:ŋ˥	
婚媾	fɐn˥ kɐu˧	
分割	fɐn˥ kɔ:t˧	
分居	fɐn˥ kɵy˥	
分句	fɐn˥ kɵy˧	
分局	fɐn˥ kʊk˨	
分工	fɐn˥ kʊŋ˥	
分工合作	fɐn˥ kʊŋ˥ hɐp˨ tsɔ:k˧	
分岐	fɐn˥ kʰei˨˩	
分歧	fɐn˥ kʰei˨˩	
分期	fɐn˥ kʰei˨˩	
分期付款	fɐn˥ kʰei˨˩ fu:˨ fu:n˧˥	
昏聩	fɐn˥ kʰu:i˧˥	
分权	fɐn˥ kʰy:n˨˩	
分级	fɐn˥ kʰɐp˥	
分级淬火	fɐn˥ kʰɐp˥ tsʰɵy˧ fɔ:˧˥	
分区	fɐn˥ kʰɵy˥	
分立	fɐn˥ la:p˨	
分利	fɐn˥ lei˨	
分离	fɐn˥ lei˨˩	
分裂	fɐn˥ li:t˨	
分列	fɐn˥ li:t˨	
分裂法	fɐn˥ li:t˨ fa:t˧	
分裂性	fɐn˥ li:t˨ sɪŋ˧	
分裂主义	fɐn˥ li:t˨ tsy:˧˥ ji:˨	
分路	fɐn˥ lou˨	
婚礼	fɐn˥ lɐi˩˧	
分馏	fɐn˥ lɐu˨	
分馏法	fɐn˥ lɐu˨ fa:t˧	
分馏器	fɐn˥ lɐu˨ hei˧	
分馏塔	fɐn˥ lɐu˨ tʰa:p˧	
分流	fɐn˥ lɐu˨˩	
婚龄	fɐn˥ lɪŋ˨˩	
分类广告	fɐn˥ lɵy˨ kwɔ:ŋ˧˥ kou˧	
分娩	fɐn˥ mi:n˩˧	
分母	fɐn˥ mou˩˧	
分门别类	fɐn˥ mu:n˨˩ pi:t˨ lɵy˨	
分文	fɐn˥ mɐn˨˩	
分文不值	fɐn˥ mɐn˨˩ pɐt˥ tsɪk˨	
分文不取	fɐn˥ mɐn˨˩ pɐt˥ tsʰɵy˧˥	
分泌	fɐn˥ pei˧	
分泌物	fɐn˥ pei˧ mɐt˨	
分泌腺	fɐn˥ pei˧ si:n˧	
婚变	fɐn˥ pi:n˧	
分辨	fɐn˥ pi:n˨	
分辨善恶	fɐn˥ pi:n˨ si:n˨ ɔ:k˧	
分辨是非	fɐn˥ pi:n˨ si:˨ fei˥	
分辨真假	fɐn˥ pi:n˨ tsɐn˥ ka:˧˥	
分别	fɐn˥ pi:t˨	
分别	fɐn˥ pi:t˨	
分布	fɐn˥ pou˧	
分布区	fɐn˥ pou˧ kʰɵy˥	
分布图	fɐn˥ pou˧ tʰou˨˩	
分部	fɐn˥ pou˨	
分崩离兮	fɐn˥ pɐŋ˥ lei˨˩ hɐi˨˩	
分崩离析	fɐn˥ pɐŋ˥ lei˨˩ sɪk˥	
分派	fɐn˥ pʰa:i˧	
分配	fɐn˥ pʰu:i˧	
分配器	fɐn˥ pʰu:i˧ hei˧	
分配率	fɐn˥ pʰu:i˧ lɵt˨	
分配律	fɐn˥ pʰu:i˧ lɵt˨	
分批	fɐn˥ pʰɐi˥	
分散	fɐn˥ sa:n˧	
婚纱	fɐn˥ sa:˥	
婚纱铺	fɐn˥ sa:˥ pʰou˧˥	婚纱店
分线	fɐn˥ si:n˧	
分销	fɐn˥ si:u˥	
分销店	fɐn˥ si:u˥ ti:m˧	
婚事	fɐn˥ si:˨	
分数	fɐn˥ sou˧	
分心	fɐn˥ sɐm˥	
分身	fɐn˥ sɐn˥	
分身乏术	fɐn˥ sɐn˥ fɐt˨ sɵt˨	
分身家	fɐn˥ sɐn˥ ka:˥	分财产，分家
分神	fɐn˥ sɐn˨˩	
分手	fɐn˥ sɐu˧˥	
