開放粵語詞典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［劉錫祥拼音］	［國語解釋］
不孝	bat1 haau3	
不孝子	bat1 haau3 ji2	
不孝有三	bat1 haau3 yau5 saam1	
不堪	bat1 ham1	
不堪設想	bat1 ham1 chit3 seung2	
不堪入目	bat1 ham1 yap6 muk6	
不堪入耳	bat1 ham1 yap6 yi5	
不堪一擊	bat1 ham1 yat1 gik1	
不含	bat1 ham4	
不含稅	bat1 ham4 sui3	
不含糊	bat1 ham4 woo4	
不幸	bat1 hang6	
不幸中之大幸	bat1 hang6 jung1 ji1 daai6 hang6	
不合	bat1 hap6	
不合標準	bat1 hap6 biu1 jun2	
不合作	bat1 hap6 jok3	
不合規定	bat1 hap6 kwai1 ding6	
不合時宜	bat1 hap6 si4 yi4	
不喜歡	bat1 hei2 foon1	
不好	bat1 ho2	
不可避免	bat1 hoh2 bei6 min5	
不可多得	bat1 hoh2 doh1 dak1	
不可救藥	bat1 hoh2 gau3 yeuk6	
不可告人	bat1 hoh2 go3 yan4	
不可限量	bat1 hoh2 haan6 leung6	
不可開交	bat1 hoh2 hoi1 gaau1	
不可知論	bat1 hoh2 ji1 lun6	
不可戰勝	bat1 hoh2 jin3 sing3	
不可捉摸	bat1 hoh2 juk1 moh2	
不可終日	bat1 hoh2 jung1 yat6	
不可理喻	bat1 hoh2 lei5 yue6	
不可名狀	bat1 hoh2 ming4 jong6	
不可磨滅	bat1 hoh2 moh4 mit6	
不可能	bat1 hoh2 nang4	
不可旁貸	bat1 hoh2 pong4 taai3	
不可收拾	bat1 hoh2 sau1 sap6	
不可想像	bat1 hoh2 seung2 jeung6	
不可思議	bat1 hoh2 si1 yi5	
不可數	bat1 hoh2 so2	
不可同日而語	bat1 hoh2 tung4 yat6 yi4 yue5	
不可或缺	bat1 hoh2 waak6 kuet3	
不可諱言	bat1 hoh2 wai5 yin4	
不可一世	bat1 hoh2 yat1 sai3	
不可言喻	bat1 hoh2 yin4 yue6	
不可逾越	bat1 hoh2 yue4 yuet6	
不學無術	bat1 hok6 mo4 sut6	
不寒而慄	bat1 hon4 yi4 lut6	
不吭聲	bat1 hong4 sing1	
不吭一聲	bat1 hong4 yat1 sing1	
不像話	bat1 jeung6 wa2	
不像樣	bat1 jeung6 yeung6	
不知幾	bat1 ji1 gei2	很，真，真的很
不知所云	bat1 ji1 soh2 wan4	
不只	bat1 ji2	
不治	bat1 ji6	
不治之症	bat1 ji6 ji1 jing3	
不自量力	bat1 ji6 leung6 lik6	
不即不離	bat1 jik1 bat1 lei4	
不值一顧	bat1 jik6 yat1 goo3	
不值一文	bat1 jik6 yat1 man4	
不值一提	bat1 jik6 yat1 tai4	
不戰而敗	bat1 jin3 yi4 baai6	
不戰而退	bat1 jin3 yi4 tui3	
不再	bat1 joi3	
不在場	bat1 joi6 cheung4	
不在乎	bat1 joi6 foo4	
不在話下	bat1 joi6 wa2 ha6	
不在意	bat1 joi6 yi3	
不絕於耳	bat1 juet6 yue1 yi5	
筆嘴	bat1 jui2	筆尖兒，鋼筆尖兒
不足掛齒	bat1 juk1 gwa3 chi2	
不足輕重	bat1 juk1 hing1 chung5	
不足為訓	bat1 juk1 wai4 fan3	
不足為奇	bat1 juk1 wai4 kei4	
不足為外人道	bat1 juk1 wai4 ngoi6 yan4 do6	
不足為憑	bat1 juk1 wai4 pang4	
不進則退	bat1 jun3 jak1 tui3	
不中不西	bat1 jung1 bat1 sai1	
不及	bat1 kap6	
不及格	bat1 kap6 gaak3	
不及物動詞	bat1 kap6 mat6 dung6 chi4	
不亢不卑	bat1 kong3 bat1 bei1	
不愧	bat1 kwai5	
不冷不熱	bat1 laang5 bat1 yit6	
抔垃圾	bat1 laap6 saap3	撮垃圾
不溜	bat1 lau1	一向，一直，向來，經常
不理不睬	bat1 lei5 bat1 choi2	
不利	bat1 lei6	
不了了之	bat1 liu5 liu5 ji1	
不勞而獲	bat1 lo4 yi4 wok6	
篳路藍縷	bat1 lo6 laam4 lui5	
不倫不類	bat1 lun4 bat1 lui6	
不論	bat1 lun6	
不吝賜教	bat1 lun6 chi3 gaau3	
不論怎麼	bat1 lun6 jam2 moh1	
不論怎樣	bat1 lun6 jam2 yeung6	
不吝指正	bat1 lun6 ji2 jing3	
不論如何	bat1 lun6 yue4 hoh4	
筆墨	bat1 mak6	
不問	bat1 man6	
不問前因後果	bat1 man6 chin4 yan1 hau6 gwoh2	
不問青紅皂白	bat1 man6 ching1 hung4 jo6 baak6	
不問是非曲直	bat1 man6 si6 fei1 kuk1 jik6	
不謀而合	bat1 mau5 yi4 hap6	
不寐	bat1 mei6	
不免	bat1 min5	
不明不白	bat1 ming4 bat1 baak6	
畢命	bat1 ming6	
不無	bat1 mo4	
不無可疑	bat1 mo4 hoh2 yi4	
不無可疑之處	bat1 mo4 hoh2 yi4 ji1 chue3	
筆帽	bat1 mo6	
不務正業	bat1 mo6 jing3 yip6	
不外乎	bat1 ngoi6 foo4	
不奈煩	bat1 noi6 faan4	
不安本分	bat1 on1 boon2 fan1	
筆刨	bat1 paau2	鉛筆刀，轉筆刀，削鉛筆器
不偏不倚	bat1 pin1 bat1 yi2	
不平等條約	bat1 ping4 dang2 tiu4 yeuk3	
不平則鳴	bat1 ping4 jak1 ming4	
不平而鳴	bat1 ping4 yi4 ming4	
不三不四	bat1 saam1 bat1 sei3	
不慎	bat1 san6	
畢生	bat1 sang1	
不失	bat1 sat1	
不失眾望	bat1 sat1 jung3 mong6	
不失良機	bat1 sat1 leung4 gei1	
不失為	bat1 sat1 wai4	
不實	bat1 sat6	
不修邊幅	bat1 sau1 bin1 fuk1	
不守信用	bat1 sau2 sun3 yung6	
不鏽鋼	bat1 sau3 gong3	
不受歡迎	bat1 sau6 foon1 ying4	
不傷和氣	bat1 seung1 woh4 hei3	
不時	bat1 si4	不定時地，每時每刻，無時無刻，時時刻刻
不惜	bat1 sik1	
不適	bat1 sik1	
不息	bat1 sik1	
不惜犧牲	bat1 sik1 hei1 saang1	
不惜一切	bat1 sik1 yat1 chai3	
不惜一戰	bat1 sik1 yat1 jin3	
不食人間煙火	bat1 sik6 yan4 gaan1 yin1 foh2	
不善	bat1 sin6	
不善於	bat1 sin6 yue1	
不升反降	bat1 sing1 faan2 gong3	
不勝負荷	bat1 sing1 foo3 hoh6	
不勝感激	bat1 sing1 gam2 gik1	
不勝酒力	bat1 sing1 jau2 lik6	
不勝其煩	bat1 sing1 kei4 faan4	
不勝枚舉	bat1 sing1 mooi4 gui2	
不成體統	bat1 sing4 tai2 tung2	
不屑	bat1 sit3	
不屑一顧	bat1 sit3 yat1 goo3	
不宣而戰	bat1 suen1 yi4 jin3	
[抔]水	bat1 sui2	舀水
不遜	bat1 sun3	
筆塔	bat1 taap3	筆帽，筆套
不透明	bat1 tau3 ming4	
不停	bat1 ting4	
不吐不快	bat1 to3 bat1 faai3	
不妥	bat1 toh2	
[抔]湯	bat1 tong1	舀湯
不同點	bat1 tung4 dim2	
不同凡響	bat1 tung4 faan4 heung2	
不同以往	bat1 tung4 yi5 wong5	
筆畫	bat1 wa2	
不懷好意	bat1 waai4 ho2 yi3	
不惑之年	bat1 waak6 ji1 nin4	
不遺餘力	bat1 wai4 yue4 lik6	
不屈不撓	bat1 wat1 bat1 naau4	
不和	bat1 woh4	
不遑	bat1 wong4	
不忍	bat1 yan2	
不忍卒睹	bat1 yan2 jut1 do2	
不忍心	bat1 yan2 sam1	
不孕	bat1 yan6	
不孕症	bat1 yan6 jing3	
不入虎穴	bat1 yap6 foo2 yuet6	
筆友	bat1 yau5	
不夜城	bat1 ye6 sing4	
不宜	bat1 yi4	
不宜	bat1 yi4	不如
不以為苦	bat1 yi5 wai4 foo2	
不以為然	bat1 yi5 wai4 yin4	
不以語人	bat1 yi5 yue6 yan4	
不二法門	bat1 yi6 faat3 moon4	
不二價	bat1 yi6 ga3	
不義之財	bat1 yi6 ji1 choi4	
不亦樂乎	bat1 yik6 lok6 foo4	
不翼而飛	bat1 yik6 yi4 fei1	
不厭其詳	bat1 yim3 kei4 cheung4	
不厭其煩	bat1 yim3 kei4 faan4	
不然	bat1 yin4	
不言而喻	bat1 yin4 yi4 yue6	
畢業	bat1 yip6	
畢業典禮	bat1 yip6 din2 lai5	
畢業生	bat1 yip6 saang1	
畢業相	bat1 yip6 seung2	畢業照
不如	bat1 yue4	
不如下次先啦	bat1 yue4 ha6 chi3 sin1 la1	下次吧
不予置評	bat1 yue5 ji3 ping4	
不遠千里	bat1 yuen5 chin1 lei5	
不遠千里而來	bat1 yuen5 chin1 lei5 yi4 loi4	
不悅	bat1 yuet6	
不容	bat1 yung4	
不容分說	bat1 yung4 fan1 suet3	
不容置辯	bat1 yung4 ji3 bin6	
不容置疑	bat1 yung4 ji3 yi4	
拔草	bat6 cho2	
拔除	bat6 chui4	
拔出	bat6 chut1	
拔地而起	bat6 dei6 yi4 hei2	
拔刀	bat6 do1	
拔刀相助	bat6 do1 seung1 joh6	
拔腳	bat6 geuk3	
拔腿就跑	bat6 geuk3 jau6 paau2	
拔劍	bat6 gim3	
拔河	bat6 hoh4	
拔河比賽	bat6 hoh4 bei2 choi3	
拔擢	bat6 jok6	
拔群	bat6 kwan4	
拔苗助長	bat6 miu4 joh6 jeung2	
拔毛	bat6 mo4	
拔錨	bat6 naau4	
拔牙	bat6 nga4	
拔身	bat6 san1	
跋涉	bat6 sip3	
拔腿	bat6 tui2	
跋扈	bat6 woo6	
啤酒	be1 jau2	
啤酒肚	be1 jau2 to5	大肚子
啤梨	be1 lei2	洋梨，西洋梨，澳洲梨
啤令	be1 ling2	滾珠軸承軸承
悲慘	bei1 chaam2	
悲慟	bei1 dung6	
悲憤填膺	bei1 fan5 tin4 ying1	
悲觀	bei1 goon1	
卑職	bei1 jik1	
卑賤	bei1 jin6	
卑俗	bei1 juk6	
悲劇	bei1 kek6	
卑劣	bei1 luet3	
卑劣性	bei1 luet3 sing3	
碑文	bei1 man4	
卑微	bei1 mei4	
悲哀	bei1 oi1	
卑鄙	bei1 pei2	
卑鄙無恥	bei1 pei2 mo4 chi2	
裨益	bei1 yik1	
畀	bei2	給
髀	bei2	腿，大腿
畀	bei2	被，受，讓
畀差人拉	bei2 chaai1 yan4 laai1	被警察逮捕
彼此	bei2 chi2	
畀錢	bei2 chin2	付錢，給錢
畀錢我	bei2 chin2 ngoh5	給我錢
比賽	bei2 choi3	
畀翻	bei2 faan1	還給
畀翻錢	bei2 faan1 chin2	還錢
比分	bei2 fan1	
畀非士	bei2 fei1 si2	給面子
比方	bei2 fong1	
比較	bei2 gaau3	
比堅尼	bei2 gin1 nei4	比基尼，比基尼泳衣
畀過	bei2 gwoh3	交給
畀考起	bei2 haau2 hei2	被考倒
畀利是	bei2 lai6 si6	給紅包
比率	bei2 lut6	
比唔上	bei2 m4 seung6	比不上
畀問起	bei2 man6 hei2	被問倒
畀面	bei2 min2	賞臉，給面子
畀面色佢睇	bei2 min6 sik1 kui5 tai2	給臉色他看
畀鬧到死死吓	bei2 naau6 do3 sei2 sei2 ha2	被罵得垂頭喪氣，被罵得狗血淋頭，捱一頓臭罵
畀鬧到一戙都冇	bei2 naau6 do3 yat1 dung6 do1 mo5	被罵得一錢不值，被罵得狗血淋頭，捱一頓臭罵
畀鬧到一隻屐	bei2 naau6 do3 yat1 jek3 kek6	被罵得垂頭喪氣，被罵得狗血淋頭，捱一頓臭罵
畀鬧到一面屁	bei2 naau6 do3 yat1 min6 pei3	被罵得滿臉羞慚，被罵得無地自容，被罵得狗血淋頭
畀銀紙	bei2 ngan4 ji2	給錢
彼岸	bei2 ngon6	
畀心機	bei2 sam1 gei1	用心，下功夫，努力
畀心機做	bei2 sam1 gei1 jo6	努力做
匕首	bei2 sau2	
畀錫壞咗	bei2 sek3 waai6 joh2	被慣壞了，給人慣壞了
畀雪藏	bei2 suet3 chong4	被打入冷宮，暫時閒置
畀水沉死	bei2 sui2 jam6 sei2	被水淹死
畀水濁親	bei2 sui2 juk6 chan1	給水嗆了
畀…睇	bei2 tai2	給…看
畀貼士	bei2 tip1 si2	給小費
畀人唱衰	bei2 yan4 cheung3 sui1	被別人詆毀，被別人戳脊梁骨
畀人棍咗	bei2 yan4 gwan3 joh2	給人騙了，被人騙了，被騙
畀人蝦	bei2 yan4 ha1	軟弱，給別人欺負
畀人恰	bei2 yan4 hap1	讓別人欺負了
畀人箍頸	bei2 yan4 koo1 geng2	被人搶劫
畀人鬧	bei2 yan4 naau6	捱罵，被罵，讓人罵
畀人呃	bei2 yan4 ngaak1	受騙，被騙
畀人拼沉	bei2 yan4 peng1 cham4	被打敗，給人打輸
畀人識穿	bei2 yan4 sik1 chuen1	讓人識破
畀人玩死	bei2 yan4 waan2 sei2	被人害苦
比喻	bei2 yue6	
痺	bei3	麻，麻痺，麻木
痺到死	bei3 do3 sei2	肉麻死了，肉麻得要命
秘笈	bei3 kap1	
秘訣	bei3 kuet3	
秘撈	bei3 lo1	搞外快，賺取外快，業餘兼職
秘密	bei3 mat6	
泌尿	bei3 niu6	
秘書	bei3 sue1	
庇護	bei3 woo6	
避	bei6	躲
被迫	bei6 baak1	
被捕	bei6 bo6	
鼻竇炎	bei6 dau6 yim4	
被動	bei6 dung6	
備份	bei6 fan6	
備課	bei6 foh3	
避風塘	bei6 fung1 tong4	避風港
被告	bei6 go3	
鼻哥	bei6 goh1	鼻子
鼻哥窿 	bei6 goh1 lung1	鼻孔
避開	bei6 hoi1	
被害	bei6 hoi6	
被害人	bei6 hoi6 yan4	
鼻腔	bei6 hong1	
鼻血	bei6 huet3	
被控	bei6 hung3	
備戰	bei6 jin3	
鼻祖	bei6 jo2	
備註	bei6 jue3	
被困	bei6 kwan3	
鼻梁	bei6 leung4	
避唔切	bei6 m4 chit3	來不及躲開
避免	bei6 min5	
備忘錄	bei6 mong4 luk6	
備案	bei6 on3	
鼻塞	bei6 sak1	
備受	bei6 sau6	
鼻息	bei6 sik1	
鼻水	bei6 sui2	
鼻涕	bei6 tai3	
鼻涕蟲	bei6 tai3 chung4	
備胎	bei6 toi1	
鼻音	bei6 yam1	
備而不用	bei6 yi4 bat1 yung6	
鼻炎	bei6 yim4	
鼻煙	bei6 yin1	
鼻煙盒	bei6 yin1 hap6	
鼻咽癌	bei6 yin1 ngaam4	
備用	bei6 yung6	
備用品	bei6 yung6 ban2	
餅乾	beng2 gon1	
餅乾	beng2 gon1	蘇打餅
餅乾店	beng2 gon1 dim3	
餅乾盒	beng2 gon1 hap6	
餅仔	beng2 jai2	餅乾
餅咭	beng2 kat1	餅券
餅師	beng2 si1	麵包師傅
餅屑	beng2 sit3	
餅印	beng2 yan3	餅模子
柄	beng3	藏，收藏
病到聲沙	beng6 do3 seng1 sa1	病得聲音沙啞了
病毒	beng6 duk6	
病君	beng6 gwan1	老病號，病夫
病咗	beng6 joh2	生病，病了，生病了
病例	beng6 lai6	
病歷	beng6 lik6	
病人	beng6 yan4	
病懨懨	beng6 yim1 yim1	
病癒	beng6 yue6	
病源	beng6 yuen4	
BB機	bi1 bi1 gei1	呼叫機，BB機
啤啤	bi4 bi1	小孩，嬰兒，嬰孩，小孩兒
啤啤車	bi4 bi1 che1	嬰兒車
啤啤仔	bi4 bi1 jai2	小嬰兒，小男孩，男嬰兒，小小子
啤啤女	bi4 bi1 nui2	女嬰兒，小女孩，小丫頭
逼	bik1	擠，擁擠
逼巴士	bik1 ba1 si2	擠公車，擠公共汽車
逼迫	bik1 baak1	
壁櫥	bik1 chui4	
逼到鬼噉	bik1 do3 gwai2 gam2	擠得要命
逼到埋身	bik1 do3 maai4 san1	事情迫到頭上來
壁虎	bik1 foo2	
逼供	bik1 gung1	
逼過嚟	bik1 gwoh3 lei4	擠過來
逼冚晒	bik1 ham6 saai3	擠得緊緊的
碧海	bik1 hoi2	
碧血	bik1 huet3	
壁紙	bik1 ji2	
逼嚟逼去	bik1 lei4 bik1 hui3	擠來擠去
壁爐	bik1 lo4	
碧綠	bik1 luk6	
碧綠色	bik1 luk6 sik1	
碧眼	bik1 ngaan5	
逼上梁山	bik1 seung5 leung4 saan1	
壁畫	bik1 wa2	
逼人	bik1 yan4	擁擠
逼入去	bik1 yap6 hui3	擠進去
碧玉	bik1 yuk6	
鞭	bin1	鞭子
邊	bin1	哪，哪裡
鞭笞	bin1 chi1	
邊塞	bin1 choi3	
邊度	bin1 do6	哪裡
邊防	bin1 fong4	
邊防要塞	bin1 fong4 yiu3 choi3	
邊界	bin1 gaai3	
邊界線	bin1 gaai3 sin3	
邊疆	bin1 geung1	
邊境	bin1 ging2	
邊個	bin1 goh3	誰，哪一個
邊個噶	bin1 goh3 ga3	誰的？
邊個嘅	bin1 goh3 ge3	誰的
辮仔	bin1 jai2	辮子
邊際	bin1 jai3	
邊種	bin1 jung2	哪種
鞭炮	bin1 paau3	
邊處	bin1 sue3	哪裡
邊處係呢	bin1 sue3 hai6 le3	哪裡哪裡
鞭撻	bin1 taat3	
邊一年	bin1 yat1 nin4	哪一年
邊日	bin1 yat6	哪一天
邊有咁大隻蛤乸隨街跳	bin1 yau5 gam3 daai6 jek3 gap1 na2 chui4 gaai1 tiu3	天上不會掉餡兒餅，沒有那麼便宜的事
邊緣	bin1 yuen4	
貶低	bin2 dai1	
扁豆	bin2 dau6	
匾額	bin2 ngaak6	
扁平	bin2 ping4	
扁圓	bin2 yuen4	
變壓器	bin3 aat3 hei3	
變遷	bin3 chin1	
變調	bin3 diu6	
變化	bin3 fa3	
變化多端	bin3 fa3 doh1 duen1	
變色龍	bin3 sik1 lung4	
變成	bin3 sing4	
變態	bin3 taai3	
便	bin6	面，邊
辨別	bin6 bit6	
辨别	bin6 bit6	
便當	bin6 dong3	
辯方	bin6 fong1	
便服	bin6 fuk6	
變更	bin6 gang1	
便捷	bin6 jit6	
便利	bin6 lei6	
便利商店	bin6 lei6 seung1 dim3	
辯論	bin6 lun6	
便溺	bin6 niu6	
辯護	bin6 woo6	
辨認	bin6 ying6	
乒乓波	bing1 bam1 boh1	乒乓球
兵不血刃	bing1 bat1 huet3 yan6	
兵不厭詐	bing1 bat1 yim3 ja3	
兵變	bing1 bin3	
冰雹	bing1 bok6	
冰凍	bing1 dung3	
兵法	bing1 faat3	
兵荒馬亂	bing1 fong1 ma5 luen6	
兵家	bing1 ga1	
兵家必爭之地	bing1 ga1 bit1 jang1 ji1 dei6	
兵家大忌	bing1 ga1 daai6 gei6	
兵貴神速	bing1 gwai3 san4 chuk1	
兵器	bing1 hei3	
兵卒	bing1 jut1	
兵臨城下	bing1 lam4 sing4 ha6	
兵力	bing1 lik6	
兵馬俑	bing1 ma5 yung2	
冰山	bing1 saan1	
冰室	bing1 sat1	冷飲店
冰上表演	bing1 seung6 biu2 yin2	
冰上運動	bing1 seung6 wan6 dung6	
兵事	bing1 si6	
兵士	bing1 si6	
冰糖	bing1 tong4	
兵刃	bing1 yan6	
兵役	bing1 yik6	
兵役法	bing1 yik6 faat6	
兵營	bing1 ying4	
兵戎	bing1 yung4	
抦	bing2	打，揍，毆打
秉持	bing2 chi4	
丙等	bing2 dang2	
屏氣	bing2 hei3	
屏氣凝神	bing2 hei3 ying4 san4	
秉燭夜遊	bing2 juk1 ye6 yau4	
丙級	bing2 kap1	
屏息	bing2 sik1	
屏息以待	bing2 sik1 yi5 doi3	
秉性	bing2 sing3	
秉承	bing2 sing4	
丙酮	bing2 tung4	
併發症	bing3 faat3 jing3	
病變	bing6 bin3	
並且	bing6 che2	
並存	bing6 chuen4	
並非	bing6 fei1	
並肩	bing6 gin1	
並肩作戰	bing6 gin1 jok3 jin3	
並肩而行	bing6 gin1 yi4 hang4	
病理學	bing6 lei5 hok6	
並列	bing6 lit6	
並列譯文	bing6 lit6 yik6 man4	
並未	bing6 mei6	
並無	bing6 mo4	
並無不可	bing6 mo4 bat1 hoh2	
病魔	bing6 moh1	
病魔纏身	bing6 moh1 chin4 san1	
病歿	bing6 moot6	
並排	bing6 paai4	
病逝	bing6 sai6	
病體	bing6 tai2	
並用	bing6 yung6	
咇	bit1	吱
咇出嚟	bit1 chut1 lei4	吱出來
觱篥	bit1 lut6	
必需	bit1 sui1	
必須	bit1 sui1	
必需品	bit1 sui1 ban2	
必要	bit1 yiu3	
鱉甲	bit3 gaap3	
憋氣	bit3 hei3	
憋悶	bit3 moon6	
彆扭	bit3 nau2	
鱉魚	bit3 yue4	
別的	bit6 dik1	
蹩腳	bit6 geuk3	
別針	bit6 jam1	
癟三	bit6 saam1	
別墅	bit6 sui6	
錶	biu1	手錶
標本	biu1 boon2	
飆車	biu1 che1	
標青	biu1 cheng1	貌美出眾，拔尖兒，超群
標簽	biu1 chim1	
錶廠	biu1 chong2	
錶帶	biu1 daai3	
錶店	biu1 dim3	
飆風	biu1 fung1	
鏢局	biu1 guk6	
錶殼	biu1 hok3	
標汗	biu1 hon6	出汗，流汗，冒汗
標準	biu1 jun2	
標準化	biu1 jun2 fa3	
錶鏈	biu1 lin4	
錶面	biu1 min6	
標參	biu1 sam1	綁架，綁票
飆升	biu1 sing1	
標題	biu1 tai4	
彪形大漢	biu1 ying4 daai6 hon3	
標語	biu1 yue5	
錶肉	biu1 yuk6	錶瓤，錶芯
表情	biu2 ching4	
表錯情	biu2 choh3 ching4	弄錯，誤解，誤會
表達	biu2 daat6	
表決	biu2 kuet3	
表決權	biu2 kuet3 kuen4	
表面	biu2 min6	
表示	biu2 si6	
表揚	biu2 yeung4	
表演	biu2 yin2	
表現	biu2 yin6	
煲	bo1	煮
煲茶	bo1 cha4	熬藥
煲電話粥	bo1 din6 wa2 juk1	打電話聊大天，打馬拉松電話，長篇大論，打電話聊天
煲飯	bo1 faan6	煮飯
煲咖啡	bo1 ga3 fe1	煮咖啡
煲仔飯	bo1 jai2 faan6	砂鍋飯
煲粥	bo1 juk1	煮粥
晡禮	bo1 lai5	
煲涼茶	bo1 leung4 cha4	煮去火湯藥，煮清涼茶
煲冇米粥	bo1 mo5 mai5 juk1	說沒影兒的事
煲冇米粥，水汪汪	bo1 mo5 mai5 juk1 sui2 wong1 wong1	三十晚上走夜路，沒影兒的事
煲水	bo1 sui2	瞎編，無中生有
煲水	bo1 sui2	燒水
煲呔	bo1 taai1	領結
煲湯	bo1 tong1	煮湯
簿	bo2	本子
補品	bo2 ban2	
保鏢	bo2 biu1	
寶寶	bo2 bo2	
補報	bo2 bo3	
寶貝	bo2 booi3	
寶貝仔	bo2 booi3 jai2	寶貝兒子
寶剎	bo2 chaat3	
保持	bo2 chi4	
保持中立	bo2 chi4 jung1 laap6	
保存	bo2 chuen4	
補充	bo2 chung1	
補充品	bo2 chung1 ban2	
寶特瓶	bo2 dak6 ping4	
寶地	bo2 dei6	
寶典	bo2 din2	
補丁	bo2 ding1	
寶刀	bo2 do1	
寶刀未老	bo2 do1 mei6 lo5	
寶島	bo2 do2	
補課	bo2 foh3	
寶庫	bo2 foo3	
补家用	bo2 ga1 yung2	補貼家裡的開支
寶鑑	bo2 gaam3	
補救	bo2 gau3	
寶劍	bo2 gim3	
保管	bo2 goon2	
保管費	bo2 goon2 fai3	
保管箱	bo2 goon2 seung1	
寶眷	bo2 guen3	
寶貴	bo2 gwai3	
補過	bo2 gwoh3	
補鞋	bo2 haai4	
補鞋匠	bo2 haai4 jeung6	
補考	bo2 haau2	
保險	bo2 him2	
保險費	bo2 him2 fai3	
保險金	bo2 him2 gam1	
保險公司	bo2 him2 gung1 si1	
保險箱	bo2 him2 seung1	
保險絲	bo2 him2 si1	
補血	bo2 huet3	
補血劑	bo2 huet3 jai1	
補血藥	bo2 huet3 yeuk6	
補空	bo2 hung1	
補習	bo2 jaap6	
補習班	bo2 jaap6 baan1	
簿仔	bo2 jai2	小本子，筆記本
保障	bo2 jeung3	
保證	bo2 jing3	
寶座	bo2 joh6	
補助費	bo2 joh6 fai3	
補助金	bo2 joh6 gam1	
補助額	bo2 joh6 ngaak6	
寶藏	bo2 jong6	
補綴	bo2 jui6	
補足	bo2 juk1	
保重	bo2 jung6	
補給	bo2 kap1	
補給品	bo2 kap1 ban2	
補給站	bo2 kap1 jaam6	
補缺	bo2 kuet3	
寶藍	bo2 laam4	
寶藍色	bo2 laam4 sik1	
保留	bo2 lau4	
堡壘	bo2 lui5	
寶物	bo2 mat6	
保密	bo2 mat6	
保母	bo2 mo2	
鴇母	bo2 mo5	
保姆	bo2 mo5	
褓姆車	bo2 mo5 che1	校車，娃娃車
保你大	bo2 nei5 daai6	服了你了
補牙	bo2 nga4	
保安	bo2 on1	
補票	bo2 piu3	
補修	bo2 sau1	
保守	bo2 sau2	
保守黨	bo2 sau2 dong2	
保守主義	bo2 sau2 jue2 yi6	
補寫	bo2 se2	
寶石	bo2 sek6	
補償	bo2 seung4	
補償金	bo2 seung4 gam1	
補色	bo2 sik1	
保釋	bo2 sik1	
保鮮紙	bo2 sin1 ji2	玻璃紙
補選	bo2 suen2	
補水	bo2 sui2	補助費，加班費，補貼
寶塔	bo2 taap3	
補貼	bo2 tip3	
補胎	bo2 toi1	
補遺	bo2 wai4	
保衛	bo2 wai6	
寶位	bo2 wai6	
補鑊	bo2 wok6	補救失誤
保護	bo2 woo6	
保護國	bo2 woo6 gwok3	
保護主義	bo2 woo6 jue2 yi6	
保佑	bo2 yau6	
補藥	bo2 yeuk6	
補養	bo2 yeung5	
保養	bo2 yeung5	
補語	bo2 yue5	
布帛	bo3 baak6	
報酬	bo3 chau4	
布甸	bo3 din1	布丁
報道	bo3 do6	
報導	bo3 do6	
报警	bo3 ging2	
報告	bo3 go3	
佈告欄	bo3 go3 laan4	
布褂	bo3 gwa3	
報刊	bo3 hon2	
報紙	bo3 ji2	
報紙佬	bo3 ji2 lo2	賣報的，報販
佈置	bo3 ji3	
報載	bo3 joi3	
布冧	bo3 lam1	洋李子
報名	bo3 ming4	
報仇	bo3 sau4	
哺	bo6	孵
埗	bo6	碼頭
步兵	bo6 bing1	
步步	bo6 bo6	
步步高升	bo6 bo6 go1 sing1	
步步為營	bo6 bo6 wai4 ying4	
步槍	bo6 cheung1	
暴躁	bo6 cho3	
部署	bo6 chue5	
捕蟲	bo6 chung4	
暴跌	bo6 dit3	
步調	bo6 diu6	
步隊	bo6 dui6	
暴動	bo6 dung6	
捕快	bo6 faai3	
暴發	bo6 faat3	
暴發戶	bo6 faat3 woo6	
部分	bo6 fan6	
步伐	bo6 fat6	
暴富	bo6 foo3	
捕風	bo6 fung1	
捕風捉影	bo6 fung1 juk1 ying2	
暴風雪	bo6 fung1 suet3	
暴風雨	bo6 fung1 yue5	
哺雞仔	bo6 gai1 jai2	孵小雞
暴君	bo6 gwan1	
暴行	bo6 hang4	
步行	bo6 hang6	
步驟	bo6 jau6	
部長	bo6 jeung2	
報紙檔	bo6 ji2 dong3	報攤
暴政	bo6 jing3	
捕捉	bo6 juk1	
捕鯨	bo6 king4	
捕鯨船	bo6 king4 suen4	
捕撈	bo6 lau4	
步履	bo6 lei5	
步履維艱	bo6 lei5 wai4 gaan1	
暴力	bo6 lik6	
暴露	bo6 lo6	
部落	bo6 lok6	
暴亂	bo6 luen6	
暴龍	bo6 lung4	
暴民	bo6 man4	
部門	bo6 moon4	
捕拿	bo6 na4	
暴怒	bo6 no6	
捕殺	bo6 saat3	
步哨	bo6 saau3	
捕手	bo6 sau2	
暴瀉	bo6 se3	急速下滑
捕食	bo6 sik6	
捕鼠器	bo6 sue2 hei3	
埗頭	bo6 tau4	碼頭，渡口
暴殄天物	bo6 tin5 tin1 mat6	
暴跳如雷	bo6 tiu3 yue4 lui4	
暴徒	bo6 to4	
步話機	bo6 wa2 gei1	
